,,count,roc_auc_score,average_precision_score,f1_score,p_value
split-0,0,40,0.7560483870967741,0.6445932294423532,0.6595744680851063,4.305194657559632e-06
split-0,1,62,0.7560483870967741,0.8319434323194308,0.7090909090909091,4.305195941269611e-06
split-1,0,40,0.7532258064516129,0.5944112146569991,0.6947368421052632,1.4210162634077524e-06
split-1,1,62,0.753225806451613,0.8622681997866211,0.7339449541284404,1.4210174298120893e-06
split-2,0,40,0.753225806451613,0.6245870965263125,0.6666666666666666,4.887426987933679e-06
split-2,1,62,0.7532258064516129,0.844490347837625,0.7207207207207207,4.8874212661673795e-06
split-3,0,40,0.6967741935483871,0.5351786161465042,0.5168539325842697,0.0002659717137723388
split-3,1,62,0.696774193548387,0.8275925139862181,0.6260869565217392,0.00026597160941045883
split-4,0,40,0.7622950819672132,0.6040511380733227,0.6896551724137931,2.50007258667587e-06
split-4,1,61,0.7622950819672132,0.8634214884798488,0.7652173913043478,2.500072522291863e-06
