epoch,learning_rate,step,training_auroc,training_domain_balanced_blend,training_domain_balanced_loss,training_loss,training_source_loss,training_total_loss,validation_auroc,validation_loss
0,,9,,,,,,,0.5051155686378479,0.6949667930603027
0,4.000507033197209e-06,9,0.5142310261726379,0.5,0.6939630508422852,0.6933762431144714,0.6933762431144714,0.6933762431144714,,
1,,19,,,,,,,0.5129783749580383,0.6940528750419617
1,4.0182458178605884e-06,19,0.5223305225372314,0.5,0.6929242610931396,0.6929349303245544,0.6929349303245544,0.6929349303245544,,
2,,29,,,,,,,0.5207464694976807,0.6931368112564087
2,4.069424903718755e-06,29,0.5729855895042419,0.5,0.690243124961853,0.6898483037948608,0.6898483037948608,0.6898483037948608,,
3,,39,,,,,,,0.5236831903457642,0.6927566528320312
3,4.154007001488935e-06,39,0.5536160469055176,0.5,0.6907959580421448,0.6905555129051208,0.6905555129051208,0.6905555129051208,,
4,,49,,,,,,,0.5242515802383423,0.6919280886650085
4,4.271933448762866e-06,49,0.5859065651893616,0.5,0.6886399984359741,0.6880764961242676,0.6880764961242676,0.6880764961242676,,
5,,59,,,,,,,0.5300303101539612,0.6907282471656799
5,4.4231233005120885e-06,59,0.5797810554504395,0.5,0.6890438199043274,0.6888598799705505,0.6888598799705505,0.6888598799705505,,
6,,69,,,,,,,0.5324933528900146,0.6899568438529968
6,4.607469236361794e-06,69,0.5640724897384644,0.5,0.6887521743774414,0.6888152360916138,0.6888152360916138,0.6888152360916138,,
7,,79,,,,,,,0.5330617427825928,0.6885342597961426
7,4.8248443818010855e-06,79,0.5582820177078247,0.5,0.6907634735107422,0.6904026865959167,0.6904026865959167,0.6904026865959167,,
8,,89,,,,,,,0.5357142686843872,0.6871604919433594
8,5.075095941720065e-06,89,0.5727553367614746,0.5,0.6896550059318542,0.6893834471702576,0.6893834471702576,0.6893834471702576,,
9,,99,,,,,,,0.5405457019805908,0.6853976249694824
9,5.358051566872746e-06,99,0.5905844569206238,0.5,0.6876174211502075,0.6871029138565063,0.6871029138565063,0.6871029138565063,,
10,,109,,,,,,,0.5429139733314514,0.6839504241943359
10,5.673512532666791e-06,109,0.5916252732276917,0.5,0.68816077709198,0.6875937581062317,0.6875937581062317,0.6875937581062317,,
11,,119,,,,,,,0.5477453470230103,0.6824890971183777
11,6.0212573771423195e-06,119,0.6058264374732971,0.5,0.6854644417762756,0.6851140260696411,0.6851140260696411,0.6851140260696411,,
12,,129,,,,,,,0.5515347123146057,0.6814737915992737
12,6.401047357940115e-06,129,0.6059340834617615,0.5,0.6859650015830994,0.6850494146347046,0.6850494146347046,0.6850494146347046,,
13,,139,,,,,,,0.5543767213821411,0.6799713969230652
13,6.8126159931125585e-06,139,0.6249924898147583,0.5,0.683262288570404,0.6828561425209045,0.6828561425209045,0.6828561425209045,,
14,,149,,,,,,,0.5568397045135498,0.6792345643043518
14,7.255674518091837e-06,149,0.6176825761795044,0.5,0.6834301352500916,0.6832563281059265,0.6832563281059265,0.6832563281059265,,
15,,159,,,,,,,0.5655551552772522,0.6781112551689148
15,7.729918252152856e-06,159,0.6211521625518799,0.5,0.6829326152801514,0.6822933554649353,0.6822933554649353,0.6822933554649353,,
16,,169,,,,,,,0.570386528968811,0.6775336265563965
16,8.235014320234768e-06,169,0.6155650019645691,0.5,0.6835974454879761,0.6824801564216614,0.6824801564216614,0.6824801564216614,,
17,,179,,,,,,,0.5742705464363098,0.676017165184021
17,8.770610293140635e-06,179,0.6285338401794434,0.5,0.6828694939613342,0.6813770532608032,0.6813770532608032,0.6813770532608032,,
18,,189,,,,,,,0.5769230723381042,0.6739568114280701
18,9.336334187537432e-06,189,0.6346473693847656,0.5,0.6817989945411682,0.6803181767463684,0.6803181767463684,0.6803181767463684,,
19,,199,,,,,,,0.5789124369621277,0.6712188124656677
19,9.931789463735186e-06,199,0.6421487331390381,0.5,0.6795081496238708,0.678034245967865,0.678034245967865,0.678034245967865,,
20,,209,,,,,,,0.5787229537963867,0.6700364351272583
20,1.0556563211139292e-05,209,0.6474846005439758,0.5,0.6801974773406982,0.67819744348526,0.67819744348526,0.67819744348526,,
21,,219,,,,,,,0.5785335302352905,0.6680632829666138
