epoch,learning_rate,step,training_auroc,training_domain_acc,training_domain_loss,training_domain_weight,training_loss,training_source_loss,training_total_loss,validation_auroc,validation_loss
0,,6,,,,,,,,0.5684426426887512,0.6846863627433777
0,4.000783064839197e-06,6,0.5622228384017944,0.40209317207336426,0.7255867123603821,0.01250000111758709,1.4117919206619263,0.686205267906189,1.4117919206619263,,
1,,13,,,,,,,,0.5786885023117065,0.6842142939567566
1,4.0156578506866936e-06,13,0.5591986179351807,0.39449015259742737,0.7256402969360352,0.02500000223517418,1.4107377529144287,0.6850975155830383,1.4107377529144287,,
2,,20,,,,,,,,0.5891393423080444,0.6822709441184998
2,4.0571449062554166e-06,20,0.571975827217102,0.4024337828159332,0.7241100072860718,0.03749999776482582,1.4079490900039673,0.6838390231132507,1.4079490900039673,,
3,,27,,,,,,,,0.5967212915420532,0.681134819984436
3,4.125220129935769e-06,27,0.5673134922981262,0.41983866691589355,0.7229198217391968,0.05000000447034836,1.4053237438201904,0.6824040412902832,1.4053237438201904,,
4,,34,,,,,,,,0.6022541522979736,0.6803264021873474
4,4.219846232444979e-06,34,0.5783896446228027,0.4149535000324249,0.7217307090759277,0.0625,1.4024574756622314,0.6807267665863037,1.4024574756622314,,
5,,41,,,,,,,,0.6133196949958801,0.6787504553794861
5,4.340970463090343e-06,41,0.5803427696228027,0.3657657504081726,0.7243074178695679,0.07499999552965164,1.403913140296936,0.6796059012413025,1.403913140296936,,
6,,48,,,,,,,,0.61659836769104,0.677809476852417
6,4.488525519263931e-06,48,0.5819430351257324,0.3795950710773468,0.7235592007637024,0.08749999105930328,1.402092695236206,0.6785334944725037,1.402092695236206,,
7,,55,,,,,,,,0.6270492076873779,0.6771042943000793
7,4.662429546442581e-06,55,0.58213210105896,0.3738291561603546,0.722556471824646,0.10000000894069672,1.3997877836227417,0.6772313117980957,1.3997877836227417,,
8,,62,,,,,,,,0.6258196830749512,0.6755794286727905
8,4.8625865929352585e-06,62,0.5951486825942993,0.37798064947128296,0.7233834862709045,0.11250000447034836,1.3990713357925415,0.675687849521637,1.3990713357925415,,
9,,69,,,,,,,,0.6256147623062134,0.6753837466239929
9,5.088885245640995e-06,69,0.5944556593894958,0.36390334367752075,0.7246314883232117,0.125,1.3987674713134766,0.6741359233856201,1.3987674713134766,,
10,,76,,,,,,,,0.6336065530776978,0.6751095652580261
10,5.341199994290946e-06,76,0.5954763293266296,0.33000582456588745,0.7261630892753601,0.13750000298023224,1.3990548849105835,0.6728918552398682,1.3990548849105835,,
11,,83,,,,,,,,0.637499988079071,0.6736421585083008
11,5.619390776701039e-06,83,0.6045110821723938,0.3327825963497162,0.7271909713745117,0.14999999105930328,1.3988635540008545,0.6716727614402771,1.3988635540008545,,
12,,90,,,,,,,,0.6430327892303467,0.6732061505317688
12,5.9233034335193224e-06,90,0.6177670955657959,0.2996502220630646,0.7292520999908447,0.16250000894069672,1.399143099784851,0.6698910593986511,1.399143099784851,,
13,,97,,,,,,,,0.6409835815429688,0.6720532774925232
13,6.25277016297332e-06,97,0.6136341094970703,0.25531816482543945,0.733256459236145,0.17499998211860657,1.4017058610916138,0.6684494018554688,1.4017058610916138,,
14,,104,,,,,,,,0.6569672226905823,0.6706637144088745
14,6.607606792385923e-06,104,0.6135332584381104,0.22350585460662842,0.7349880933761597,0.1875,1.401636004447937,0.666647732257843,1.401636004447937,,
15,,111,,,,,,,,0.659426212310791,0.6706840395927429
15,6.987618689890951e-06,111,0.6086945533752441,0.19653457403182983,0.7379977107048035,0.20000001788139343,1.4039360284805298,0.6659383773803711,1.4039360284805298,,
16,,118,,,,,,,,0.6489753723144531,0.668310284614563
16,7.39259303372819e-06,118,0.6102570295333862,0.13812723755836487,0.7432697415351868,0.20000001788139343,1.4072307348251343,0.6639610528945923,1.4072307348251343,,
17,,125,,,,,,,,0.6465164422988892,0.6662660837173462
17,7.822305633453652e-06,125,0.6342616081237793,0.10567173361778259,0.7495866417884827,0.20000001788139343,1.4111223220825195,0.6615357398986816,1.4111223220825195,,
18,,132,,,,,,,,0.658401608467102,0.6641082167625427
18,8.276517291960772e-06,132,0.6205140948295593,0.08323243260383606,0.7511197328567505,0.20000001788139343,1.4111438989639282,0.6600241661071777,1.4111438989639282,,
19,,139,,,,,,,,0.6598360538482666,0.6617109775543213
19,8.754979717195965e-06,139,0.6850932240486145,0.04543772712349892,0.7571185231208801,0.20000001788139343,1.4152743816375732,0.6581557989120483,1.4152743816375732,,
20,,146,,,,,,,,0.6602458953857422,0.6597686409950256
20,9.257424608222209e-06,146,0.6398816108703613,0.03218015655875206,0.7621564865112305,0.20000001788139343,1.4181032180786133,0.6559466123580933,1.4181032180786133,,
21,,153,,,,,,,,0.6635245680809021,0.6558913588523865
21,9.78357365966076e-06,153,0.6862651109695435,0.027532540261745453,0.7673576474189758,0.20000001788139343,1.4210344552993774,0.6536768078804016,1.4210344552993774,,
22,,160,,,,,,,,0.6633196473121643,0.6533052921295166
22,1.0333135833207052e-05,160,0.7424143552780151,0.015166230499744415,0.7709142565727234,0.20000001788139343,1.422894835472107,0.651980459690094,1.422894835472107,,
