epoch,learning_rate,step,training_auroc,training_distillation_loss,training_distillation_weight,training_domain_acc,training_domain_loss,training_domain_weight,training_loss,training_source_loss,training_total_loss,validation_auroc,validation_loss
0,,6,,,,,,,,,,0.6737903356552124,0.7006789445877075
0,4.001942670583958e-06,6,0.6404858231544495,0.565636932849884,0.02500000037252903,0.4950379729270935,0.7016646265983582,0.05000000074505806,1.403018832206726,0.6872133612632751,1.403018832206726,,
1,,13,,,,,,,,,,0.6794354915618896,0.6962534785270691
1,4.040205567434896e-06,13,0.6397520303726196,0.5406980514526367,0.05000000074505806,0.5005308985710144,0.7004541754722595,0.10000000149011612,1.412764549255371,0.6852754950523376,1.412764549255371,,
2,,20,,,,,,,,,,0.6875,0.690617561340332
2,4.147169875068357e-06,20,0.6522266864776611,0.5129280686378479,0.07499999552965164,0.5006015300750732,0.7004982233047485,0.14999999105930328,1.42161226272583,0.682644248008728,1.42161226272583,,
3,,27,,,,,,,,,,0.6798386573791504,0.6870245933532715
3,4.322683253121795e-06,27,0.6611083149909973,0.48667505383491516,0.10000000149011612,0.49899259209632874,0.7004745602607727,0.20000000298023224,1.429923415184021,0.6807814240455627,1.429923415184021,,
4,,34,,,,,,,,,,0.6810483932495117,0.6828208565711975
4,4.566494226310169e-06,34,0.6677125692367554,0.46031129360198975,0.125,0.4999519884586334,0.7000709176063538,0.25,1.4364701509475708,0.6788603067398071,1.4364701509475708,,
5,,41,,,,,,,,,,0.6846774816513062,0.6788763403892517
5,4.878252639173297e-06,41,0.6768471002578735,0.43151170015335083,0.14999999105930328,0.4996829032897949,0.7014145851135254,0.29999998211860657,1.4432424306869507,0.6771011352539062,1.4432424306869507,,
6,,48,,,,,,,,,,0.6798386573791504,0.6749963760375977
6,5.25751283930731e-06,48,0.6829453706741333,0.3989960253238678,0.17499999701976776,0.49588602781295776,0.7015089988708496,0.3499999940395355,1.4464645385742188,0.6751312613487244,1.4464645385742188,,
7,,55,,,,,,,,,,0.686693549156189,0.670592188835144
7,5.7037318583752494e-06,55,0.688866376876831,0.36281052231788635,0.20000000298023224,0.48882487416267395,0.7043707966804504,0.4000000059604645,1.450364351272583,0.6734313368797302,1.450364351272583,,
8,,62,,,,,,,,,,0.6774193048477173,0.6678904891014099
8,6.2162680478650145e-06,62,0.7008349895477295,0.32893773913383484,0.20000000298023224,0.4815950393676758,0.7043953537940979,0.45000001788139343,1.4411866664886475,0.6710038781166077,1.4411866664886475,,
9,,69,,,,,,,,,,0.6729838848114014,0.6641867160797119
9,6.794390628783731e-06,69,0.7045040130615234,0.29213589429855347,0.20000000298023224,0.4745040535926819,0.7067021727561951,0.5,1.4347102642059326,0.66958087682724,1.4347102642059326,,
10,,76,,,,,,,,,,0.6762096881866455,0.6603314280509949
10,7.437268777721329e-06,76,0.7084261178970337,0.25481265783309937,0.20000000298023224,0.461498886346817,0.709533154964447,0.5,1.4282492399215698,0.6677536368370056,1.4282492399215698,,
11,,83,,,,,,,,,,0.6717742085456848,0.6587315201759338
11,8.143982995534316e-06,83,0.7128795385360718,0.2203969806432724,0.20000000298023224,0.4348059296607971,0.7131364941596985,0.5,1.4230440855026245,0.6658282279968262,1.4230440855026245,,
12,,90,,,,,,,,,,0.6677418947219849,0.6569797396659851
12,8.913521014619619e-06,90,0.715080976486206,0.18648560345172882,0.20000000298023224,0.4111412465572357,0.7175455689430237,0.5,1.4188390970230103,0.6639966368675232,1.4188390970230103,,
13,,97,,,,,,,,,,0.6677418947219849,0.654883861541748
13,9.744779163156636e-06,97,0.721331000328064,0.15659959614276886,0.20000000298023224,0.363351970911026,0.7222280502319336,0.5,1.414747714996338,0.6611997485160828,1.414747714996338,,
14,,104,,,,,,,,,,0.6665322780609131,0.6546893119812012
14,1.0636567822075449e-05,104,0.7250000238418579,0.1290183961391449,0.20000000298023224,0.31793251633644104,0.7263002991676331,0.5,1.4095180034637451,0.6574140191078186,1.4095180034637451,,
15,,111,,,,,,,,,,0.665725827217102,0.6526774168014526
15,1.1587609151320066e-05,111,0.7258350253105164,0.1038203313946724,0.20000000298023224,0.2628427743911743,0.7303657531738281,0.5,1.4063576459884644,0.6552278399467468,1.4063576459884644,,
16,,118,,,,,,,,,,0.6629031896591187,0.6513023376464844
16,1.2596541637321934e-05,118,0.7250252962112427,0.08231764286756516,0.20000000298023224,0.21219947934150696,0.7366306185722351,0.5,1.4046920537948608,0.6515977382659912,1.4046920537948608,,
17,,125,,,,,,,,,,0.6693547964096069,0.6508967876434326
17,1.366191736451583e-05,125,0.7299848794937134,0.06339327991008759,0.20000000298023224,0.14003300666809082,0.7433915734291077,0.5,1.4047329425811768,0.6486627459526062,1.4047329425811768,,
18,,132,,,,,,,,,,0.6568548679351807,0.6517675518989563
18,1.4782214748265687e-05,132,0.7295039892196655,0.0475132130086422,0.20000000298023224,0.12037698179483414,0.7493526935577393,0.5,1.4044921398162842,0.645636796951294,1.4044921398162842,,
19,,139,,,,,,,,,,0.6572580337524414,0.6529954075813293
19,1.5955825801938772e-05,139,0.7277075052261353,0.03595053032040596,0.20000000298023224,0.08214659243822098,0.7537437081336975,0.5,1.4029582738876343,0.6420243978500366,1.4029582738876343,,
20,,146,,,,,,,,,,0.6520161032676697,0.6522447466850281
20,1.7181064322357997e-05,146,0.7349443435668945,0.02585446462035179,0.20000000298023224,0.06856247037649155,0.7613175511360168,0.5,1.4039901494979858,0.6375016570091248,1.4039901494979858,,
