epoch,learning_rate,step,training_auroc,training_loss,training_pseudolabel_loss,training_pseudolabel_weight,training_source_loss,training_total_loss,validation_auroc,validation_loss
0,,6,,,,,,,0.4794355034828186,0.686765730381012
0,4.001942670583958e-06,6,0.4756072759628296,0.7386438846588135,0.6988900899887085,0.0625,0.6949632167816162,0.7386438846588135,,
1,,13,,,,,,,0.5044354796409607,0.6853339076042175
1,4.040205567434896e-06,13,0.5021761059761047,0.7778732776641846,0.6794156432151794,0.125,0.6929463148117065,0.7778732776641846,,
2,,20,,,,,,,0.5540322661399841,0.6826477646827698
2,4.147169875068357e-06,20,0.5212297439575195,0.8149087429046631,0.6572190523147583,0.1875,0.6916801333427429,0.8149087429046631,,
3,,27,,,,,,,0.5606855154037476,0.680717408657074
3,4.322683253121795e-06,27,0.5455971360206604,0.8485072255134583,0.6334588527679443,0.25,0.6901424527168274,0.8485072255134583,,
4,,34,,,,,,,0.5913306474685669,0.6773037910461426
4,4.566494226310169e-06,34,0.5698380470275879,0.8783069849014282,0.60671466588974,0.3125,0.6887086033821106,0.8783069849014282,,
5,,41,,,,,,,0.6112903356552124,0.6736729145050049
5,4.878252639173297e-06,41,0.5897520184516907,0.9029134511947632,0.574520468711853,0.375,0.6874682903289795,0.9029134511947632,,
6,,48,,,,,,,0.6411290168762207,0.6700412034988403
6,5.25751283930731e-06,48,0.6124746799468994,0.9217802286148071,0.5393372178077698,0.4375,0.6858201026916504,0.9217802286148071,,
7,,55,,,,,,,0.66411292552948,0.666015088558197
7,5.7037318583752494e-06,55,0.6306173801422119,0.937095046043396,0.5050307512283325,0.5,0.684579610824585,0.937095046043396,,
8,,62,,,,,,,0.6806451678276062,0.6627628207206726
8,6.2162680478650145e-06,62,0.6495951414108276,0.9191063642501831,0.47235241532325745,0.5,0.6829301714897156,0.9191063642501831,,
9,,69,,,,,,,0.6854838728904724,0.6585938930511475
9,6.794390628783731e-06,69,0.6709514260292053,0.8984447717666626,0.4339466094970703,0.5,0.6814714670181274,0.8984447717666626,,
10,,76,,,,,,,0.7008064985275269,0.653954029083252
10,7.437268777721329e-06,76,0.6839574575424194,0.8741487264633179,0.3900536298751831,0.5,0.6791219115257263,0.8741487264633179,,
11,,83,,,,,,,0.7080644965171814,0.6502472162246704
11,8.143982995534316e-06,83,0.6880313754081726,0.8589573502540588,0.3610844016075134,0.5,0.678415060043335,0.8589573502540588,,
12,,90,,,,,,,0.7141128778457642,0.6459672451019287
12,8.913521014619619e-06,90,0.699063777923584,0.8383393287658691,0.32436564564704895,0.5,0.6761565208435059,0.8383393287658691,,
13,,97,,,,,,,0.7177419662475586,0.6424894332885742
13,9.744779163156636e-06,97,0.706047534942627,0.8192166686058044,0.2906184792518616,0.5,0.673907458782196,0.8192166686058044,,
14,,104,,,,,,,0.698387086391449,0.6388487219810486
14,1.0636567822075449e-05,104,0.7044281363487244,0.8011773228645325,0.2605825960636139,0.5,0.6708859801292419,0.8011773228645325,,
15,,111,,,,,,,0.7034274339675903,0.6355631351470947
15,1.1587609151320066e-05,111,0.7069332003593445,0.7822469472885132,0.2314244508743286,0.5,0.6665347218513489,0.7822469472885132,,
16,,118,,,,,,,0.711693525314331,0.6331924200057983
