epoch,learning_rate,step,training_loss,validation_auroc,validation_loss
0,,6,,0.4297131299972534,0.34646666049957275
0,4.003178673883667e-06,6,0.347162127494812,,
1,,13,,0.48012295365333557,0.34117835760116577
1,4.06356912208139e-06,13,0.33622828125953674,,
2,,20,,0.5,0.339878648519516
2,4.231895673001418e-06,20,0.33030998706817627,,
3,,27,,0.5129098296165466,0.3359643518924713
3,4.507779976847814e-06,27,0.326210618019104,,
4,,34,,0.5422130823135376,0.33061474561691284
4,4.890600393991917e-06,34,0.3227944076061249,,
5,,41,,0.5534836053848267,0.3257433772087097
5,5.379494268709095e-06,41,0.31947940587997437,,
6,,48,,0.5510246157646179,0.32072585821151733
6,5.973362021904904e-06,48,0.3176538050174713,,
7,,55,,0.5584015846252441,0.3164268732070923
7,6.670866696367739e-06,55,0.3127351701259613,,
8,,62,,0.5874999761581421,0.31200554966926575
8,7.470435775758233e-06,62,0.3094138503074646,,
9,,69,,0.6057376861572266,0.3077636659145355
9,8.370270734303631e-06,69,0.3041071891784668,,
10,,76,,0.631147563457489,0.3037164807319641
10,9.368345672555733e-06,76,0.30246666073799133,,
11,,83,,0.6504098773002625,0.2991268038749695
11,1.0462411410117056e-05,83,0.2944886088371277,,
12,,90,,0.6709016561508179,0.29526305198669434
12,1.1650006854324602e-05,90,0.29195335507392883,,
13,,97,,0.6754098534584045,0.29213476181030273
13,1.2928455362271052e-05,97,0.28805220127105713,,
14,,104,,0.6915982961654663,0.2896379828453064
14,1.42948802022147e-05,104,0.2839164435863495,,
15,,111,,0.6991803646087646,0.28740060329437256
15,1.5746203644084744e-05,111,0.28047943115234375,,
16,,118,,0.6856557130813599,0.2861311137676239
16,1.7279158782912418e-05,118,0.2769790589809418,,
17,,125,,0.7065573930740356,0.2860710620880127
17,1.889029226731509e-05,125,0.2729035019874573,,
18,,132,,0.7334016561508179,0.2854357659816742
18,2.0575977032422088e-05,132,0.27130141854286194,,
19,,139,,0.7293033003807068,0.28361964225769043
19,2.2332418666337617e-05,139,0.26815810799598694,,
20,,146,,0.7264344692230225,0.28048181533813477
20,2.4155660867108963e-05,146,0.2633969783782959,,
21,,153,,0.7284835577011108,0.2774798274040222
21,2.604159999464173e-05,153,0.26357847452163696,,
22,,160,,0.7372950315475464,0.2727797031402588
22,2.7985990527668037e-05,160,0.2635533809661865,,
23,,167,,0.7260245680809021,0.27188438177108765
23,2.9984450520714745e-05,167,0.25610116124153137,,
24,,174,,0.7274590134620667,0.27304667234420776
24,3.203247979399748e-05,174,0.2561236321926117,,
25,,181,,0.7180328369140625,0.27952924370765686
25,3.412547448533587e-05,181,0.25351855158805847,,
26,,188,,0.7653688788414001,0.3124409019947052
26,3.62587088602595e-05,188,0.25523027777671814,,
27,,195,,0.751024603843689,0.330433189868927
27,3.8427391700679436e-05,195,0.2552323341369629,,
28,,202,,0.7532787322998047,0.31398075819015503
28,4.062663720105775e-05,202,0.25850924849510193,,
29,,209,,0.7473360300064087,0.26929259300231934
29,4.285148315830156e-05,209,0.25739866495132446,,
30,,216,,0.7413934469223022,0.2752523720264435
30,4.509693826548755e-05,216,0.23402442038059235,,
31,,223,,0.7409836053848267,0.28496992588043213
31,4.735793481813744e-05,223,0.2349596917629242,,
