epoch,learning_rate,step,training_auroc,training_domain_balanced_blend,training_domain_balanced_loss,training_loss,training_source_loss,training_total_loss,validation_auroc,validation_loss
12,6.401716291293269e-06,129,0.6216914653778076,0.5,0.6849531531333923,0.6837368011474609,0.6837368011474609,0.6837368011474609,,
13,,139,,,,,,,0.577019453048706,0.6867536306381226
13,6.813335858169012e-06,139,0.6260035634040833,0.5,0.6833781003952026,0.6823341846466064,0.6823341846466064,0.6823341846466064,,
14,,149,,,,,,,0.5951417088508606,0.6851677298545837
14,7.256446224346291e-06,149,0.6545801162719727,0.5,0.6809293627738953,0.6797733306884766,0.6797733306884766,0.6797733306884766,,
15,,159,,,,,,,0.5932137966156006,0.6838762760162354
15,7.730739525868557e-06,159,0.6474448442459106,0.5,0.6790055632591248,0.6784639954566956,0.6784639954566956,0.6784639954566956,,
16,,169,,,,,,,0.6050703525543213,0.6824871897697449
16,8.235885616159067e-06,169,0.6503156423568726,0.5,0.680670440196991,0.6791906952857971,0.6791906952857971,0.6791906952857971,,
17,,179,,,,,,,0.6083477735519409,0.6815923452377319
17,8.771530701778829e-06,179,0.6490291357040405,0.5,0.6804952025413513,0.6789144277572632,0.6789144277572632,0.6789144277572632,,
18,,189,,,,,,,0.6089261770248413,0.6806508302688599
18,9.33730279939482e-06,189,0.6588088274002075,0.5,0.6783554553985596,0.6768876314163208,0.6768876314163208,0.6768876314163208,,
19,,199,,,,,,,0.617312490940094,0.6795671582221985
19,9.932806278811768e-06,199,0.679416298866272,0.5,0.6754274368286133,0.673782229423523,0.673782229423523,0.673782229423523,,
20,,209,,,,,,,0.6168305277824402,0.6783722043037415
20,1.0557627319940366e-05,209,0.6818344593048096,0.5,0.6742134690284729,0.6727753281593323,0.6727753281593323,0.6727753281593323,,
21,,219,,,,,,,0.6139386892318726,0.6774162650108337
21,1.1211331184313167e-05,219,0.6890411376953125,0.5,0.671495795249939,0.6701751351356506,0.6701751351356506,0.6701751351356506,,
22,,229,,,,,,,0.6122999787330627,0.6755828857421875
22,1.1893459486600477e-05,229,0.6869088411331177,0.5,0.6715272665023804,0.669662594795227,0.669662594795227,0.669662594795227,,
23,,239,,,,,,,0.6198188066482544,0.6731476187705994
23,1.2603540199052077e-05,239,0.6880643367767334,0.5,0.6698222160339355,0.6677501797676086,0.6677501797676086,0.6677501797676086,,
24,,249,,,,,,,0.6470985412597656,0.6689366698265076
24,1.3341076737560797e-05,249,0.6908993721008301,0.5,0.6684839129447937,0.6663993000984192,0.6663993000984192,0.6663993000984192,,
25,,259,,,,,,,0.6632928252220154,0.6674113869667053
25,1.4105557966104243e-05,259,0.7155449390411377,0.5,0.6636379361152649,0.6618572473526001,0.6618572473526001,0.6618572473526001,,
26,,269,,,,,,,0.6725467443466187,0.6642531752586365
26,1.4896445463818964e-05,269,0.7209529280662537,0.5,0.6627833843231201,0.6607764363288879,0.6607764363288879,0.6607764363288879,,
27,,279,,,,,,,0.6778484582901001,0.6634734869003296
27,1.571319080539979e-05,279,0.7189397811889648,0.5,0.6643922328948975,0.6612719297409058,0.6612719297409058,0.6612719297409058,,
28,,289,,,,,,,0.6749566197395325,0.6626336574554443
28,1.6555224647163413e-05,289,0.7279094457626343,0.5,0.6595019102096558,0.6565141677856445,0.6565141677856445,0.6565141677856445,,
29,,299,,,,,,,0.6789088249206543,0.661881685256958
29,1.7421962184016593e-05,299,0.7289100885391235,0.5,0.6545917987823486,0.65249103307724,0.65249103307724,0.65249103307724,,
30,,309,,,,,,,0.6778484582901001,0.6601704955101013
30,1.8312795873498544e-05,309,0.7302560806274414,0.5,0.6553261876106262,0.6520501375198364,0.6520501375198364,0.6520501375198364,,
31,,319,,,,,,,0.6784268617630005,0.6592401266098022
