epoch,learning_rate,step,training_auroc,training_coral_loss,training_coral_weight,training_loss,training_source_loss,training_total_loss,validation_auroc,validation_loss
0,,6,,,,,,,0.5528225898742676,0.6725783348083496
0,4.001942670583958e-06,6,0.5167763233184814,6.181087519507855e-05,0.02500000037252903,0.698907732963562,0.6989061236381531,0.698907732963562,,
1,,13,,,,,,,0.5790322422981262,0.672758162021637
1,4.040205567434896e-06,13,0.5492662191390991,6.0742539062630385e-05,0.05000000074505806,0.6943356394767761,0.6943325400352478,0.6943356394767761,,
2,,20,,,,,,,0.5774193406105042,0.6738024950027466
2,4.147169875068357e-06,20,0.5770496129989624,7.123846444301307e-05,0.07499999552965164,0.6914739608764648,0.6914685368537903,0.6914739608764648,,
3,,27,,,,,,,0.5604838728904724,0.6761247515678406
3,4.322683253121795e-06,27,0.5811234712600708,6.359291000990197e-05,0.10000000149011612,0.6893417239189148,0.6893353462219238,0.6893417239189148,,
4,,34,,,,,,,0.5635080933570862,0.6766613721847534
4,4.566494226310169e-06,34,0.6128542423248291,6.260511872824281e-05,0.125,0.6864736676216125,0.686465859413147,0.6864736676216125,,
5,,41,,,,,,,0.5917338728904724,0.6788157820701599
5,4.878252639173297e-06,41,0.6229504346847534,5.9631362091749907e-05,0.14999999105930328,0.6847413182258606,0.6847324371337891,0.6847413182258606,,
6,,48,,,,,,,0.6052418947219849,0.6791806817054749
6,5.25751283930731e-06,48,0.6366143822669983,6.500411836896092e-05,0.17499999701976776,0.6828633546829224,0.6828519701957703,0.6828633546829224,,
7,,55,,,,,,,0.6151209473609924,0.6785745620727539
7,5.7037318583752494e-06,55,0.6545799970626831,6.110793765401468e-05,0.20000000298023224,0.6807849407196045,0.6807727217674255,0.6807849407196045,,
8,,62,,,,,,,0.6131048202514648,0.6790936589241028
8,6.2162680478650145e-06,62,0.6692813634872437,6.452009984059259e-05,0.20000000298023224,0.6787025928497314,0.67868971824646,0.6787025928497314,,
9,,69,,,,,,,0.6127015948295593,0.6793439984321594
