,,count,roc_auc_score,average_precision_score,f1_score,p_value
exp18_abmil_coral,0,87,0.6162326999765424,0.47856588818042534,0.0,0.008398734427417561
exp18_abmil_coral,1,147,0.6162326999765422,0.7377239573577001,0.7716535433070866,0.008398723279645031
