epoch,learning_rate,step,training_auroc,training_domain_balanced_blend,training_domain_balanced_loss,training_loss,training_source_loss,training_total_loss,validation_auroc,validation_loss
0,,9,,,,,,,0.6015037894248962,0.7133375406265259
0,4.0005338632909115e-06,9,0.531363844871521,1.0,0.6980494856834412,0.6980494856834412,0.6980494856834412,0.6980494856834412,,
1,,19,,,,,,,0.6021785736083984,0.7102356553077698
1,4.018327217636397e-06,19,0.5350208282470703,1.0,0.6962851881980896,0.6962851881980896,0.6962851881980896,0.6962851881980896,,
2,,29,,,,,,,0.5934065580368042,0.70794677734375
2,4.069561327924021e-06,29,0.53340083360672,1.0,0.6956921219825745,0.6956921219825745,0.6956921219825745,0.6956921219825745,,
3,,39,,,,,,,0.5918642282485962,0.7055329084396362
3,4.154197540628957e-06,39,0.5410839319229126,1.0,0.6956318020820618,0.6956318020820618,0.6956318020820618,0.6956318020820618,,
4,,49,,,,,,,0.5780798196792603,0.7027377486228943
4,4.272178102837643e-06,49,0.5345056056976318,1.0,0.6947672367095947,0.6947672367095947,0.6947672367095947,0.6947672367095947,,
5,,59,,,,,,,0.6035280227661133,0.7000696063041687
5,4.423422069521621e-06,59,0.5336748361587524,1.0,0.6938170194625854,0.6938170194625854,0.6938170194625854,0.6938170194625854,,
6,,69,,,,,,,0.6052631139755249,0.6977679133415222
6,4.607821665558731e-06,69,0.5480524301528931,1.0,0.6917370557785034,0.6917370557785034,0.6917370557785034,0.6917370557785034,,
7,,79,,,,,,,0.6100828647613525,0.696184515953064
7,4.825250925932778e-06,79,0.5580226182937622,1.0,0.6921594738960266,0.6921594738960266,0.6921594738960266,0.6921594738960266,,
8,,89,,,,,,,0.6001542806625366,0.6938289999961853
8,5.075555691291811e-06,89,0.5727576017379761,1.0,0.6905237436294556,0.6905237436294556,0.6905237436294556,0.6905237436294556,,
9,,99,,,,,,,0.6099864840507507,0.6918047070503235
9,5.358564067137195e-06,99,0.5963788032531738,1.0,0.6891504526138306,0.6891504526138306,0.6891504526138306,0.6891504526138306,,
10,,109,,,,,,,0.6097937822341919,0.6896752715110779
10,5.674077783623943e-06,109,0.5801191329956055,1.0,0.6874733567237854,0.6874733567237854,0.6874733567237854,0.6874733567237854,,
11,,119,,,,,,,0.6232889890670776,0.6879474520683289
