epoch,learning_rate,step,training_auroc,training_loss,training_pseudolabel_loss,training_pseudolabel_weight,training_source_loss,training_total_loss,validation_auroc,validation_loss
16,1.2596541637321934e-05,118,0.7041498422622681,0.7584030032157898,0.20117788016796112,0.5,0.6578139662742615,0.7584030032157898,,
17,,125,,,,,,,0.6854839324951172,0.6442651748657227
17,1.366191736451583e-05,125,0.7078694105148315,0.74312424659729,0.17963476479053497,0.5,0.6533069014549255,0.74312424659729,,
18,,132,,,,,,,0.6854839324951172,0.641427755355835
18,1.4782214748265687e-05,132,0.7057692408561707,0.7272228598594666,0.15389767289161682,0.5,0.6502740383148193,0.7272228598594666,,
19,,139,,,,,,,0.6903225779533386,0.6373092532157898
19,1.5955825801938772e-05,139,0.7057439088821411,0.7148171067237854,0.13559821248054504,0.5,0.6470180749893188,0.7148171067237854,,
20,,146,,,,,,,0.6854838728904724,0.6373718976974487
20,1.7181064322357997e-05,146,0.710703432559967,0.7003046870231628,0.11407738924026489,0.5,0.6432660818099976,0.7003046870231628,,
21,,153,,,,,,,0.6862902641296387,0.6370262503623962
21,1.845618498919066e-05,153,0.7148278951644897,0.6885907649993896,0.09963853657245636,0.5,0.6387714743614197,0.6885907649993896,,
22,,160,,,,,,,0.6891129016876221,0.6359813809394836
22,1.9779357899096794e-05,160,0.7149291038513184,0.6783531904220581,0.08456175029277802,0.5,0.6360723972320557,0.6783531904220581,,
23,,167,,,,,,,0.6919354796409607,0.6299180388450623
23,2.1148687665117905e-05,167,0.7169787883758545,0.6680501103401184,0.07169439643621445,0.5,0.6322029232978821,0.6680501103401184,,
24,,174,,,,,,,0.6919354796409607,0.6247462034225464
24,2.256220977869816e-05,174,0.7185475826263428,0.659751296043396,0.059055473655462265,0.5,0.6302235126495361,0.659751296043396,,
25,,181,,,,,,,0.6955645084381104,0.6206855773925781
25,2.401790152362082e-05,181,0.7235324382781982,0.6496944427490234,0.047031909227371216,0.5,0.6261784434318542,0.6496944427490234,,
26,,188,,,,,,,0.6919355392456055,0.6225370764732361
26,2.551367288106121e-05,188,0.7238360643386841,0.6428148150444031,0.040327038615942,0.5,0.6226513385772705,0.6428148150444031,,
27,,195,,,,,,,0.6971774101257324,0.6245980262756348
27,2.7047391995438375e-05,195,0.7274796962738037,0.6346773505210876,0.03418191522359848,0.5,0.6175863146781921,0.6346773505210876,,
28,,202,,,,,,,0.6979838609695435,0.6244179606437683
28,2.8616854251595214e-05,202,0.732312798500061,0.6268563866615295,0.029594281688332558,0.5,0.6120592951774597,0.6268563866615295,,
29,,209,,,,,,,0.6911290287971497,0.6247250437736511
29,3.0219811378628947e-05,209,0.7317054271697998,0.6217096447944641,0.024191027507185936,0.5,0.6096141338348389,0.6217096447944641,,
30,,216,,,,,,,0.6862903237342834,0.6256797313690186
30,3.1853971449891105e-05,216,0.7354756593704224,0.6155979037284851,0.02109742909669876,0.5,0.6050492525100708,0.6155979037284851,,
31,,223,,,,,,,0.6915322542190552,0.6178406476974487
31,3.351698615006171e-05,223,0.737297534942627,0.6101735830307007,0.01732785999774933,0.5,0.6015095710754395,0.6101735830307007,,
32,,230,,,,,,,0.6963709592819214,0.6177593469619751
32,3.5206474422011524e-05,230,0.7400304079055786,0.6045755743980408,0.014544423669576645,0.5,0.5973033905029297,0.6045755743980408,,
