epoch,train_loss,val_loss,val_tile_auc,val_tile_f1,val_patient_auc,val_patient_f1,val_patient_acc,lr_head,lr_backbone
1,0.5866939181962463,0.7582475685992757,0.6131993643245341,0.5467625899280576,0.6958041958041958,0.45161290322580644,0.5142857142857142,0.0003,2e-05
2,0.42655299065856717,0.7620967372849181,0.5865133534307065,0.6931567328918322,0.6783216783216782,0.7547169811320755,0.6285714285714286,0.0003,2e-05
3,0.3127820473574726,0.9602336807025446,0.5892606936626553,0.5971168437025797,0.6538461538461539,0.6829268292682927,0.6285714285714286,0.00015,1e-05
4,0.2277336257629396,1.0947792422328446,0.6013865974378881,0.6388397594623275,0.6643356643356644,0.723404255319149,0.6285714285714286,0.00015,1e-05
5,0.18795918721543967,1.1985943229818665,0.5963642760093169,0.6746909564085881,0.6923076923076923,0.7407407407407407,0.6,7.5e-05,5e-06
6,0.14642172691330937,1.2828526155570068,0.6034727866605203,0.668235294117647,0.6818181818181819,0.76,0.6571428571428571,7.5e-05,5e-06
