epoch,learning_rate,step,training_auroc,training_domain_balanced_blend,training_domain_balanced_loss,training_loss,training_source_loss,training_total_loss,validation_auroc,validation_loss
0,,9,,,,,,,0.49734747409820557,0.6946525573730469
0,4.000507033197209e-06,9,0.4850870370864868,1.0,0.6959694027900696,0.6959694027900696,0.6959694027900696,0.6959694027900696,,
1,,19,,,,,,,0.505399763584137,0.6929751634597778
1,4.0182458178605884e-06,19,0.5006520748138428,1.0,0.6945238709449768,0.6945238709449768,0.6945238709449768,0.6945238709449768,,
2,,29,,,,,,,0.5103259086608887,0.6920630931854248
2,4.069424903718755e-06,29,0.5270593166351318,1.0,0.6926963329315186,0.6926963329315186,0.6926963329315186,0.6926963329315186,,
3,,39,,,,,,,0.5103259086608887,0.6912665367126465
3,4.154007001488935e-06,39,0.5497757196426392,1.0,0.6907121539115906,0.6907121539115906,0.6907121539115906,0.6907121539115906,,
4,,49,,,,,,,0.5145888328552246,0.6900498867034912
4,4.271933448762866e-06,49,0.5884817838668823,1.0,0.688152551651001,0.688152551651001,0.688152551651001,0.688152551651001,,
5,,59,,,,,,,0.5236831903457642,0.6893883943557739
5,4.4231233005120885e-06,59,0.6065024137496948,1.0,0.68743497133255,0.68743497133255,0.68743497133255,0.68743497133255,,
6,,69,,,,,,,0.5286093354225159,0.6886165142059326
6,4.607469236361794e-06,69,0.5630913972854614,1.0,0.6902198195457458,0.6902198195457458,0.6902198195457458,0.6902198195457458,,
7,,79,,,,,,,0.5321144461631775,0.6875709891319275
7,4.8248443818010855e-06,79,0.5527068376541138,1.0,0.6904488801956177,0.6904488801956177,0.6904488801956177,0.6904488801956177,,
8,,89,,,,,,,0.5362827181816101,0.6868306398391724
8,5.075095941720065e-06,89,0.5979781150817871,1.0,0.6864773631095886,0.6864773631095886,0.6864773631095886,0.6864773631095886,,
9,,99,,,,,,,0.5364722013473511,0.6857522130012512
9,5.358051566872746e-06,99,0.5809056758880615,1.0,0.6887269616127014,0.6887269616127014,0.6887269616127014,0.6887269616127014,,
10,,109,,,,,,,0.5370405316352844,0.6847467422485352
10,5.673512532666791e-06,109,0.606436550617218,1.0,0.6867728233337402,0.6867728233337402,0.6867728233337402,0.6867728233337402,,
11,,119,,,,,,,0.5406403541564941,0.6838314533233643
11,6.0212573771423195e-06,119,0.5886462926864624,1.0,0.6883751749992371,0.6883751749992371,0.6883751749992371,0.6883751749992371,,
12,,129,,,,,,,0.5462296009063721,0.6832488179206848
12,6.401047357940115e-06,129,0.5997607707977295,1.0,0.6873745322227478,0.6873745322227478,0.6873745322227478,0.6873745322227478,,
13,,139,,,,,,,0.5508716106414795,0.682985246181488
13,6.8126159931125585e-06,139,0.6111862063407898,1.0,0.6848751306533813,0.6848751306533813,0.6848751306533813,0.6848751306533813,,
14,,149,,,,,,,0.5611026883125305,0.6819776892662048
14,7.255674518091837e-06,149,0.6245737075805664,1.0,0.6839348673820496,0.6839348673820496,0.6839348673820496,0.6839348673820496,,
15,,159,,,,,,,0.5681129097938538,0.6802511215209961
15,7.729918252152856e-06,159,0.6229586601257324,1.0,0.6823734641075134,0.6823734641075134,0.6823734641075134,0.6823734641075134,,
16,,169,,,,,,,0.5673550367355347,0.6789658069610596
16,8.235014320234768e-06,169,0.6262845993041992,1.0,0.6827100515365601,0.6827100515365601,0.6827100515365601,0.6827100515365601,,
17,,179,,,,,,,0.5684918165206909,0.675835132598877
17,8.770610293140635e-06,179,0.6382724046707153,1.0,0.6802990436553955,0.6802990436553955,0.6802990436553955,0.6802990436553955,,
18,,189,,,,,,,0.5737022161483765,0.6735955476760864
18,9.336334187537432e-06,189,0.6458575129508972,1.0,0.6807789206504822,0.6807789206504822,0.6807789206504822,0.6807789206504822,,
19,,199,,,,,,,0.5725653171539307,0.6718106865882874
19,9.931789463735186e-06,199,0.6447926759719849,1.0,0.6806766390800476,0.6806766390800476,0.6806766390800476,0.6806766390800476,,
20,,209,,,,,,,0.5794808864593506,0.6706454157829285
20,1.0556563211139292e-05,209,0.6442304253578186,1.0,0.679882824420929,0.679882824420929,0.679882824420929,0.679882824420929,,
21,,219,,,,,,,0.5755020380020142,0.6688674092292786
21,1.1210221600777004e-05,219,0.651444673538208,1.0,0.6788507103919983,0.6788507103919983,0.6788507103919983,0.6788507103919983,,
22,,229,,,,,,,0.5834596157073975,0.6667467951774597
22,1.1892304428329226e-05,229,0.6577017307281494,1.0,0.6781235337257385,0.6781235337257385,0.6781235337257385,0.6781235337257385,,
23,,239,,,,,,,0.5841227769851685,0.6654872298240662
23,1.2602339666045737e-05,239,0.6821080446243286,1.0,0.6740475296974182,0.6740475296974182,0.6740475296974182,0.6740475296974182,,
24,,249,,,,,,,0.5955854654312134,0.6640899777412415
24,1.333983163931407e-05,249,0.6867859363555908,1.0,0.6733072996139526,0.6733072996139526,0.6733072996139526,0.6733072996139526,,
25,,259,,,,,,,0.5959643125534058,0.6619691848754883
25,1.4104270121606532e-05,259,0.676628589630127,1.0,0.673115074634552,0.673115074634552,0.673115074634552,0.673115074634552,,
26,,269,,,,,,,0.6001325845718384,0.6595937013626099
26,1.4895115782564972e-05,269,0.691092848777771,1.0,0.6689413785934448,0.6689413785934448,0.6689413785934448,0.6689413785934448,,
27,,279,,,,,,,0.6119742393493652,0.6574636697769165
27,1.5711817468400113e-05,279,0.6872166395187378,1.0,0.6699158549308777,0.6699158549308777,0.6699158549308777,0.6699158549308777,,
28,,289,,,,,,,0.6106480360031128,0.654120147228241
28,1.6553813111386262e-05,289,0.6888077855110168,1.0,0.6703951358795166,0.6703951358795166,0.6703951358795166,0.6703951358795166,,
29,,299,,,,,,,0.6098901033401489,0.6534199118614197
29,1.7420510630472563e-05,299,0.7037028074264526,1.0,0.6676819920539856,0.6676819920539856,0.6676819920539856,0.6676819920539856,,
30,,309,,,,,,,0.6134899854660034,0.6524659991264343
30,1.831130612117704e-05,309,0.701513409614563,1.0,0.665322482585907,0.665322482585907,0.665322482585907,0.665322482585907,,
31,,319,,,,,,,0.6187002658843994,0.646649181842804
31,1.9225581127102487e-05,319,0.7171980142593384,1.0,0.6623268723487854,0.6623268723487854,0.6623268723487854,0.6623268723487854,,
32,,329,,,,,,,0.6247631907463074,0.6462423801422119
32,2.0162699001957662e-05,329,0.711622953414917,1.0,0.6613481044769287,0.6613481044769287,0.6613481044769287,0.6613481044769287,,
33,,339,,,,,,,0.6240053176879883,0.6438309550285339
33,2.112200490955729e-05,339,0.7217442989349365,1.0,0.6586827039718628,0.6586827039718628,0.6586827039718628,0.6586827039718628,,
34,,349,,,,,,,0.6243842244148254,0.6408262848854065
34,2.2102824004832655e-05,349,0.7336722612380981,1.0,0.6532739996910095,0.6532739996910095,0.6532739996910095,0.6532739996910095,,
35,,359,,,,,,,0.6223948001861572,0.6351455450057983
35,2.310448144271504e-05,359,0.7293533086776733,1.0,0.6537259817123413,0.6537259817123413,0.6537259817123413,0.6537259817123413,,
36,,369,,,,,,,0.6226790547370911,0.6299207806587219
36,2.4126278731273487e-05,369,0.7376084327697754,1.0,0.6490868330001831,0.6490868330001831,0.6490868330001831,0.6490868330001831,,
37,,379,,,,,,,0.6325312852859497,0.6264892816543579
37,2.516750646464061e-05,379,0.7370700836181641,1.0,0.6496968865394592,0.6496968865394592,0.6496968865394592,0.6496968865394592,,
38,,389,,,,,,,0.6381205320358276,0.6296060085296631
38,2.6227422495139763e-05,389,0.731231689453125,1.0,0.6488721370697021,0.6488721370697021,0.6488721370697021,0.6488721370697021,,
39,,399,,,,,,,0.6289314031600952,0.6306976675987244
39,2.7305308321956545e-05,399,0.7327390909194946,1.0,0.6470646858215332,0.6470646858215332,0.6470646858215332,0.6470646858215332,,
