epoch,learning_rate,step,training_auroc,training_inbatch_coral_loss,training_inbatch_coral_weight,training_inbatch_domain_count,training_loss,training_source_loss,training_total_loss,validation_auroc,validation_loss
0,,9,,,,,,,,0.5831887722015381,0.7110527753829956
0,4.0005338632909115e-06,9,0.5010244250297546,7.613054913235828e-05,0.009999998845160007,2.0,0.6989827156066895,0.6989819407463074,0.6989827156066895,,
1,,19,,,,,,,,0.590707540512085,0.707389771938324
1,4.018327217636397e-06,19,0.5298510789871216,7.090053259162232e-05,0.019999997690320015,2.0,0.6958274841308594,0.6958261728286743,0.6958274841308594,,
2,,29,,,,,,,,0.5849238634109497,0.7045145034790039
2,4.069561327924021e-06,29,0.5243359208106995,7.36151632736437e-05,0.029999997466802597,2.0,0.6956619620323181,0.6956597566604614,0.6956619620323181,,
3,,39,,,,,,,,0.5845382809638977,0.7019712924957275
3,4.154197540628957e-06,39,0.544514536857605,7.221149280667305e-05,0.03999999538064003,2.0,0.6935102939605713,0.6935073733329773,0.6935102939605713,,
4,,49,,,,,,,,0.5935993790626526,0.6994920372962952
4,4.272178102837643e-06,49,0.5432162284851074,7.254476804519072e-05,0.05000000819563866,2.0,0.6925720572471619,0.6925683617591858,0.6925720572471619,,
5,,59,,,,,,,,0.6147098541259766,0.6973892450332642
5,4.423422069521621e-06,59,0.5494222640991211,7.263481529662386e-05,0.05000000819563866,2.0,0.6914189457893372,0.6914152503013611,0.6914189457893372,,
6,,69,,,,,,,,0.6048775911331177,0.6950342059135437
6,4.607821665558731e-06,69,0.5438832640647888,6.916336133144796e-05,0.05000000819563866,2.0,0.6917311549186707,0.6917277574539185,0.6917311549186707,,
7,,79,,,,,,,,0.5952380895614624,0.6933125257492065
7,4.825250925932778e-06,79,0.5801191329956055,6.227447011042386e-05,0.05000000819563866,2.0,0.6885226964950562,0.6885195374488831,0.6885226964950562,,
8,,89,,,,,,,,0.5950453281402588,0.6914443373680115
8,5.075555691291811e-06,89,0.5932102203369141,6.978776946198195e-05,0.05000000819563866,2.0,0.6874499917030334,0.6874464750289917,0.6874499917030334,,
9,,99,,,,,,,,0.613745927810669,0.6892320513725281
9,5.358564067137195e-06,99,0.6069327592849731,6.974779535084963e-05,0.05000000819563866,2.0,0.6863210201263428,0.686317503452301,0.6863210201263428,,
10,,109,,,,,,,,0.6228070259094238,0.6880375742912292
