epoch,learning_rate,step,training_auroc,training_domain_acc,training_domain_loss,training_domain_weight,training_loss,training_source_loss,training_total_loss,validation_auroc,validation_loss
0,,6,,,,,,,,0.5669354796409607,0.6903076171875
0,4.001942670583958e-06,6,0.6323380470275879,0.1593201607465744,0.7260242700576782,0.06666666269302368,1.4095343351364136,0.6835101246833801,1.4095343351364136,,
1,,13,,,,,,,,0.5796370506286621,0.6888035535812378
1,4.040205567434896e-06,13,0.6493421196937561,0.16817253828048706,0.726192831993103,0.13333332538604736,1.4080463647842407,0.6818536520004272,1.4080463647842407,,
2,,20,,,,,,,,0.5915322303771973,0.6876940131187439
2,4.147169875068357e-06,20,0.6350455284118652,0.14367470145225525,0.7276903986930847,0.20000000298023224,1.4081668853759766,0.6804765462875366,1.4081668853759766,,
3,,27,,,,,,,,0.5844757556915283,0.6869195699691772
3,4.322683253121795e-06,27,0.6653845906257629,0.136805459856987,0.7276219129562378,0.2666666507720947,1.4069522619247437,0.6793303489685059,1.4069522619247437,,
4,,34,,,,,,,,0.5925402641296387,0.6849876642227173
4,4.566494226310169e-06,34,0.6715333461761475,0.12408501654863358,0.7294439673423767,0.3333333432674408,1.407878041267395,0.6784341931343079,1.407878041267395,,
5,,41,,,,,,,,0.5913306474685669,0.6850555539131165
5,4.878252639173297e-06,41,0.6857540607452393,0.07835125923156738,0.7339279055595398,0.4000000059604645,1.4100927114486694,0.6761649250984192,1.4100927114486694,,
6,,48,,,,,,,,0.5917338132858276,0.6837048530578613
6,5.25751283930731e-06,48,0.6862601041793823,0.07218451052904129,0.7388952970504761,0.46666666865348816,1.4143460988998413,0.6754508018493652,1.4143460988998413,,
7,,55,,,,,,,,0.5953629016876221,0.6824284195899963
7,5.7037318583752494e-06,55,0.6884362697601318,0.05916597321629524,0.7435858845710754,0.5333333015441895,1.4178060293197632,0.6742202043533325,1.4178060293197632,,
8,,62,,,,,,,,0.5997983813285828,0.6815122961997986
8,6.2162680478650145e-06,62,0.6386513113975525,0.03439963236451149,0.7497957348823547,0.5999999642372131,1.4222254753112793,0.672429621219635,1.4222254753112793,,
9,,69,,,,,,,,0.6098790168762207,0.6808621287345886
9,6.794390628783731e-06,69,0.6710906028747559,0.020631147548556328,0.7573930621147156,0.6666666865348816,1.4282947778701782,0.6709016561508179,1.4282947778701782,,
10,,76,,,,,,,,0.603225827217102,0.6791732907295227
10,7.437268777721329e-06,76,0.6870824694633484,0.018358513712882996,0.7659937143325806,0.7333333492279053,1.434883713722229,0.6688900589942932,1.434883713722229,,
11,,83,,,,,,,,0.6038306355476379,0.6785646080970764
11,8.143982995534316e-06,83,0.7100708484649658,0.011207354255020618,0.7777392268180847,0.800000011920929,1.4447898864746094,0.6670506596565247,1.4447898864746094,,
12,,90,,,,,,,,0.6012096405029297,0.6772701740264893
12,8.913521014619619e-06,90,0.7128795385360718,0.00885448046028614,0.7905012369155884,0.800000011920929,1.4557346105575562,0.6652332544326782,1.4557346105575562,,
13,,97,,,,,,,,0.6086693406105042,0.6763384342193604
13,9.744779163156636e-06,97,0.7122975587844849,0.005563557147979736,0.8045821785926819,0.800000011920929,1.4686086177825928,0.6640265583992004,1.4686086177825928,,
