epoch,learning_rate,step,training_auroc,training_loss,training_pseudolabel_loss,training_pseudolabel_weight,training_source_loss,training_total_loss,validation_auroc,validation_loss
0,,6,,,,,,,0.4844758212566376,0.6902222037315369
0,4.001942670583958e-06,6,0.44251012802124023,0.7418386340141296,0.6921225786209106,0.0625,0.6985808610916138,0.7418386340141296,,
1,,13,,,,,,,0.5159274339675903,0.6897433996200562
1,4.040205567434896e-06,13,0.46670037508010864,0.7811399102210999,0.6731383204460144,0.125,0.6969977021217346,0.7811399102210999,,
2,,20,,,,,,,0.5274193286895752,0.6890135407447815
2,4.147169875068357e-06,20,0.49407893419265747,0.8173408508300781,0.6545486450195312,0.1875,0.6946129202842712,0.8173408508300781,,
3,,27,,,,,,,0.5318548679351807,0.6881155967712402
3,4.322683253121795e-06,27,0.5250505805015564,0.8502554297447205,0.6302734613418579,0.25,0.692686915397644,0.8502554297447205,,
4,,34,,,,,,,0.5290322303771973,0.6855612993240356
4,4.566494226310169e-06,34,0.5481781363487244,0.8790722489356995,0.6022276878356934,0.3125,0.6908761858940125,0.8790722489356995,,
5,,41,,,,,,,0.542137086391449,0.6829582452774048
5,4.878252639173297e-06,41,0.571204423904419,0.9036220908164978,0.5702453255653381,0.375,0.689780056476593,0.9036220908164978,,
6,,48,,,,,,,0.5260080695152283,0.6805023550987244
6,5.25751283930731e-06,48,0.5973430871963501,0.9225063920021057,0.5367614030838013,0.4375,0.6876733303070068,0.9225063920021057,,
7,,55,,,,,,,0.5145161151885986,0.6775115728378296
7,5.7037318583752494e-06,55,0.6306173801422119,0.9354729652404785,0.49947625398635864,0.5,0.6857348680496216,0.9354729652404785,,
8,,62,,,,,,,0.4951612949371338,0.6743931770324707
8,6.2162680478650145e-06,62,0.64617919921875,0.914824366569519,0.46168702840805054,0.5,0.6839808821678162,0.914824366569519,,
9,,69,,,,,,,0.4639112651348114,0.6716852188110352
9,6.794390628783731e-06,69,0.6609817743301392,0.8938138484954834,0.4232659637928009,0.5,0.6821808815002441,0.8938138484954834,,
10,,76,,,,,,,0.4594758152961731,0.668687105178833
10,7.437268777721329e-06,76,0.6704453229904175,0.8719910383224487,0.3828970789909363,0.5,0.6805424690246582,0.8719910383224487,,
11,,83,,,,,,,0.4647177457809448,0.6657450795173645
11,8.143982995534316e-06,83,0.685779333114624,0.8499013781547546,0.34529799222946167,0.5,0.6772524118423462,0.8499013781547546,,
12,,90,,,,,,,0.46814513206481934,0.663424015045166
12,8.913521014619619e-06,90,0.6898026466369629,0.8291750550270081,0.3083684742450714,0.5,0.6749907732009888,0.8291750550270081,,
13,,97,,,,,,,0.4570564031600952,0.6610067486763
13,9.744779163156636e-06,97,0.6930415630340576,0.8104535341262817,0.27751103043556213,0.5,0.6716980934143066,0.8104535341262817,,
14,,104,,,,,,,0.47721776366233826,0.6585112810134888
14,1.0636567822075449e-05,104,0.6959514617919922,0.7893674969673157,0.24166522920131683,0.5,0.6685349345207214,0.7893674969673157,,
15,,111,,,,,,,0.5038306713104248,0.6580461859703064
15,1.1587609151320066e-05,111,0.7000316381454468,0.7718807458877563,0.21467839181423187,0.5,0.664541482925415,0.7718807458877563,,
16,,118,,,,,,,0.5252016186714172,0.6561887860298157
16,1.2596541637321934e-05,118,0.7057186365127563,0.7520163059234619,0.1849558800458908,0.5,0.6595383286476135,0.7520163059234619,,
17,,125,,,,,,,0.5175403356552124,0.6549112796783447
17,1.366191736451583e-05,125,0.7077429294586182,0.7369018793106079,0.1631649136543274,0.5,0.6553194522857666,0.7369018793106079,,
18,,132,,,,,,,0.5268144607543945,0.6545754075050354
18,1.4782214748265687e-05,132,0.7099696397781372,0.7202096581459045,0.13902032375335693,0.5,0.6506994962692261,0.7202096581459045,,
19,,139,,,,,,,0.5417338609695435,0.6549917459487915
19,1.5955825801938772e-05,139,0.7059969902038574,0.7070497870445251,0.12011118233203888,0.5,0.6469941735267639,0.7070497870445251,,
20,,146,,,,,,,0.5588709115982056,0.6548812985420227
20,1.7181064322357997e-05,146,0.7082996368408203,0.6928092837333679,0.1025984138250351,0.5,0.6415100693702698,0.6928092837333679,,
21,,153,,,,,,,0.5526209473609924,0.6504279971122742
21,1.845618498919066e-05,153,0.7087804079055786,0.6838632822036743,0.08916833996772766,0.5,0.6392791271209717,0.6838632822036743,,
22,,160,,,,,,,0.5784274339675903,0.6482292413711548
22,1.9779357899096794e-05,160,0.7085525989532471,0.6725034117698669,0.07192561775445938,0.5,0.6365405917167664,0.6725034117698669,,
23,,167,,,,,,,0.5917338132858276,0.6437075138092041
23,2.1148687665117905e-05,167,0.7072874307632446,0.6629153490066528,0.059249576181173325,0.5,0.6332905292510986,0.6629153490066528,,
24,,174,,,,,,,0.5854838490486145,0.6370409727096558
24,2.256220977869816e-05,174,0.7126771211624146,0.6546887755393982,0.05006446689367294,0.5,0.6296564936637878,0.6546887755393982,,
25,,181,,,,,,,0.5905241966247559,0.6358436942100525
25,2.401790152362082e-05,181,0.7152581214904785,0.6463619470596313,0.04070179536938667,0.5,0.626011073589325,0.6463619470596313,,
26,,188,,,,,,,0.5935484170913696,0.6308881640434265
26,2.551367288106121e-05,188,0.7147014141082764,0.6403128504753113,0.0335070975124836,0.5,0.6235593557357788,0.6403128504753113,,
27,,195,,,,,,,0.5963709354400635,0.6277372241020203
27,2.7047391995438375e-05,195,0.7210526466369629,0.6345694065093994,0.027964090928435326,0.5,0.6205873489379883,0.6345694065093994,,
28,,202,,,,,,,0.637499988079071,0.6338793635368347
28,2.8616854251595214e-05,202,0.721786379814148,0.6273790001869202,0.02422747015953064,0.5,0.6152652502059937,0.6273790001869202,,
29,,209,,,,,,,0.6520161628723145,0.6419543623924255
29,3.0219811378628947e-05,209,0.717383623123169,0.6256113052368164,0.021578241139650345,0.5,0.6148222088813782,0.6256113052368164,,
30,,216,,,,,,,0.6499999761581421,0.6275757551193237
30,3.1853971449891105e-05,216,0.7245697975158691,0.617523729801178,0.01863252930343151,0.5,0.6082075238227844,0.617523729801178,,
31,,223,,,,,,,0.6493951082229614,0.6163376569747925
31,3.351698615006171e-05,223,0.7287449836730957,0.6116368770599365,0.01550368219614029,0.5,0.6038851141929626,0.6116368770599365,,
32,,230,,,,,,,0.6383064389228821,0.6102817058563232
32,3.5206474422011524e-05,230,0.726366400718689,0.6113109588623047,0.012966115027666092,0.5,0.6048279404640198,0.6113109588623047,,
33,,237,,,,,,,0.6590725779533386,0.621691107749939
33,3.692002792377025e-05,237,0.7282388210296631,0.6050425171852112,0.01155924703925848,0.5,0.5992629528045654,0.6050425171852112,,
34,,244,,,,,,,0.6741935014724731,0.6176655888557434
34,3.865517646772787e-05,244,0.7309969663619995,0.5999839901924133,0.010296853259205818,0.5,0.5948355197906494,0.5999839901924133,,
35,,251,,,,,,,0.6786290407180786,0.6142269372940063
35,4.0409446228295565e-05,251,0.7350708246231079,0.595565915107727,0.009403380565345287,0.5,0.5908642411231995,0.595565915107727,,
36,,258,,,,,,,0.6786290407180786,0.6049397587776184
36,4.2180319724138826e-05,258,0.731174111366272,0.5938513278961182,0.00782190915197134,0.5,0.5899404287338257,0.5938513278961182,,
37,,265,,,,,,,0.6899194121360779,0.6096175909042358
37,4.396525037009269e-05,265,0.734033465385437,0.5906103849411011,0.0072404430247843266,0.5,0.5869901776313782,0.5906103849411011,,
38,,272,,,,,,,0.6939516067504883,0.6006863713264465
38,4.5761698856949806e-05,272,0.7397266626358032,0.5837993621826172,0.006398783065378666,0.5,0.5805999040603638,0.5837993621826172,,
39,,279,,,,,,,0.702217698097229,0.5929410457611084
39,4.756708221975714e-05,279,0.7410930395126343,0.5823744535446167,0.005942817311733961,0.5,0.5794031023979187,0.5823744535446167,,
