epoch,learning_rate,step,training_auroc,training_inbatch_coral_loss,training_inbatch_coral_weight,training_inbatch_domain_count,training_loss,training_source_loss,training_total_loss,validation_auroc,validation_loss
18,9.33730279939482e-06,189,0.6614770889282227,5.4884520068299025e-05,0.05000000819563866,2.0,0.6736860871315002,0.6736834049224854,0.6736860871315002,,
19,,199,,,,,,,,0.6142278909683228,0.6780603528022766
19,9.932806278811768e-06,199,0.6694103479385376,5.8228692068951204e-05,0.05000000819563866,2.0,0.6721861362457275,0.6721833348274231,0.6721861362457275,,
20,,209,,,,,,,,0.6270483732223511,0.6754205226898193
20,1.0557627319940366e-05,209,0.6829779148101807,5.822972525493242e-05,0.05000000819563866,2.0,0.6693069934844971,0.6693040132522583,0.6693069934844971,,
21,,219,,,,,,,,0.6360130906105042,0.6735432147979736
21,1.1211331184313167e-05,219,0.6824538707733154,5.8807483583223075e-05,0.05000000819563866,2.0,0.6689317226409912,0.6689288020133972,0.6689317226409912,,
22,,229,,,,,,,,0.6378446817398071,0.6731699109077454
22,1.1893459486600477e-05,229,0.6915068626403809,6.337997183436528e-05,0.05000000819563866,2.0,0.667000412940979,0.6669971942901611,0.667000412940979,,
23,,239,,,,,,,,0.6380374431610107,0.6729193925857544
23,1.2603540199052077e-05,239,0.6966289281845093,6.710412708343938e-05,0.05000000819563866,2.0,0.6647658944129944,0.664762556552887,0.6647658944129944,,
24,,249,,,,,,,,0.6497011184692383,0.6713618040084839
24,1.3341076737560797e-05,249,0.7080047130584717,6.990657857386395e-05,0.05000000819563866,2.0,0.6616779565811157,0.6616744995117188,0.6616779565811157,,
25,,259,,,,,,,,0.674667477607727,0.668298602104187
25,1.4105557966104243e-05,259,0.7233233451843262,7.08807201590389e-05,0.05000000819563866,2.0,0.6580480933189392,0.6580444574356079,0.6580480933189392,,
26,,269,,,,,,,,0.683053731918335,0.664908230304718
26,1.4896445463818964e-05,269,0.7211673259735107,7.697418186580762e-05,0.05000000819563866,2.0,0.6576330661773682,0.6576293706893921,0.6576330661773682,,
27,,279,,,,,,,,0.6821862459182739,0.6634933352470398
27,1.571319080539979e-05,279,0.7226444482803345,8.308841643156484e-05,0.05000000819563866,2.0,0.6553301215171814,0.6553258895874023,0.6553301215171814,,
28,,289,,,,,,,,0.6836321353912354,0.6615083813667297
28,1.6555224647163413e-05,289,0.7188207507133484,8.845181582728401e-05,0.05000000819563866,2.0,0.6543182134628296,0.6543138027191162,0.6543182134628296,,
29,,299,,,,,,,,0.6848852634429932,0.6597844958305359
29,1.7421962184016593e-05,299,0.7328648567199707,9.264617983717471e-05,0.05000000819563866,2.0,0.6501911878585815,0.6501865983009338,0.6501911878585815,,
30,,309,,,,,,,,0.6870059967041016,0.6574922204017639
30,1.8312795873498544e-05,309,0.7435259819030762,0.00010467495303601027,0.05000000819563866,2.0,0.6456298232078552,0.6456246376037598,0.6456298232078552,,
31,,319,,,,,,,,0.6917293667793274,0.6561113595962524
31,1.9227107259212062e-05,319,0.7382012605667114,0.00011513633944559842,0.05000000819563866,2.0,0.6440722942352295,0.644066572189331,0.6440722942352295,,
32,,329,,,,,,,,0.6983805894851685,0.6544343829154968
32,2.0164261513855308e-05,329,0.7485884428024292,0.00011954477668041363,0.05000000819563866,2.0,0.639454185962677,0.6394482254981995,0.639454185962677,,
33,,339,,,,,,,,0.6951031684875488,0.6524556875228882
33,2.1123601982253604e-05,339,0.740929126739502,0.00013209492317400873,0.05000000819563866,2.0,0.6379139423370361,0.6379073262214661,0.6379139423370361,,
34,,349,,,,,,,,0.7014651894569397,0.6510950922966003
34,2.2104453819338232e-05,349,0.739452064037323,0.00015460904978681356,0.05000000819563866,2.0,0.6347716450691223,0.6347638368606567,0.6347716450691223,,
35,,359,,,,,,,,0.7010796070098877,0.6511437892913818
35,2.3106143999029882e-05,359,0.7486480474472046,0.00015627463290002197,0.05000000819563866,2.0,0.6295042634010315,0.6294964551925659,0.6295042634010315,,
36,,369,,,,,,,,0.7036823034286499,0.6490998864173889
36,2.4127974029397592e-05,369,0.7517212629318237,0.0001869720872491598,0.05000000819563866,2.0,0.6259746551513672,0.6259652972221375,0.6259746551513672,,
37,,379,,,,,,,,0.7045498490333557,0.6409383416175842
37,2.5169232685584575e-05,379,0.7476950883865356,0.00021042180014774203,0.05000000819563866,2.0,0.6241335868835449,0.6241230964660645,0.6241335868835449,,
38,,389,,,,,,,,0.706863284111023,0.6382734179496765
38,2.6229177819914185e-05,389,0.7516140937805176,0.00022280924895312637,0.05000000819563866,2.0,0.6203047633171082,0.6202936172485352,0.6203047633171082,,
39,,399,,,,,,,,0.6913437843322754,0.6366193890571594
39,2.730709093157202e-05,399,0.7479094862937927,0.0002520112320780754,0.05000000819563866,2.0,0.618638277053833,0.6186257004737854,0.618638277053833,,
