epoch,learning_rate,step,training_auroc,training_domain_acc,training_domain_loss,training_domain_weight,training_loss,training_source_loss,training_total_loss,validation_auroc,validation_loss
0,,8,,,,,,,,0.5729508399963379,0.6801667809486389
0,4.000338776677381e-06,8,0.532963752746582,0.5042017102241516,0.7271261811256409,0.02500000223517418,1.420613169670105,0.6934869885444641,1.420613169670105,,
1,,17,,,,,,,,0.6549180150032043,0.68364018201828
1,4.006762992503354e-06,17,0.6019909381866455,0.5084034204483032,0.7212365865707397,0.05000000447034836,1.4030228853225708,0.681786060333252,1.4030228853225708,,
2,,26,,,,,,,,0.6631147861480713,0.6812616586685181
2,4.024680038128281e-06,26,0.6323336362838745,0.5084034204483032,0.7106349468231201,0.07499998807907104,1.3878368139266968,0.6772015690803528,1.3878368139266968,,
3,,35,,,,,,,,0.6774590015411377,0.671492338180542
3,4.0540890040574595e-06,35,0.6970009803771973,0.5042017102241516,0.7066966891288757,0.10000000894069672,1.3714536428451538,0.6647570729255676,1.3714536428451538,,
4,,44,,,,,,,,0.6586065888404846,0.671231210231781
4,4.094980340596521e-06,44,0.6785534620285034,0.5071778893470764,0.7059041261672974,0.125,1.3712798357009888,0.665375828742981,1.3712798357009888,,
5,,53,,,,,,,,0.7020491361618042,0.6575349569320679
5,4.147343588556396e-06,53,0.6838709115982056,0.5084034204483032,0.7098400592803955,0.1499999761581421,1.3726484775543213,0.6628084182739258,1.3726484775543213,,
6,,62,,,,,,,,0.7413934469223022,0.6483746767044067
6,4.211167834000662e-06,62,0.665725827217102,0.5029762387275696,0.7154468297958374,0.17499999701976776,1.378718614578247,0.6632717251777649,1.378718614578247,,
7,,71,,,,,,,,0.6856557130813599,0.653567373752594
7,4.2864376155193895e-06,71,0.6986138820648193,0.5070028305053711,0.7213238477706909,0.20000001788139343,1.3758373260498047,0.6545135378837585,1.3758373260498047,,
8,,80,,,,,,,,0.7307376861572266,0.6467361450195312
8,4.373135197965894e-06,80,0.7026273012161255,0.5047269463539124,0.7263248562812805,0.20000001788139343,1.3781458139419556,0.651820957660675,1.3781458139419556,,
9,,89,,,,,,,,0.7098361253738403,0.6531867384910583
9,4.4712392082146835e-06,89,0.6984878778457642,0.4959734082221985,0.7394436001777649,0.20000001788139343,1.3871747255325317,0.6477311253547668,1.3871747255325317,,
10,,98,,,,,,,,0.7147541046142578,0.6444611549377441
10,4.580725999403512e-06,98,0.739995002746582,0.48091739416122437,0.7503560185432434,0.20000001788139343,1.3849080801010132,0.6345520615577698,1.3849080801010132,,
11,,107,,,,,,,,0.720901608467102,0.6397201418876648
11,4.7015687414386775e-06,107,0.6985383033752441,0.44695374369621277,0.7647818922996521,0.20000001788139343,1.4078950881958008,0.643113374710083,1.4078950881958008,,
12,,116,,,,,,,,0.7053278684616089,0.6351103782653809
12,4.833738785237074e-06,116,0.7239162921905518,0.4185924232006073,0.7782851457595825,0.20000001788139343,1.4103333950042725,0.6320483684539795,1.4103333950042725,,
13,,125,,,,,,,,0.7250000238418579,0.6315511465072632
13,4.977207481715595e-06,125,0.7156250476837158,0.3618697226047516,0.7957173585891724,0.20000001788139343,1.427035927772522,0.6313182711601257,1.427035927772522,,
14,,134,,,,,,,,0.7360655665397644,0.6259878277778625
14,5.13193799633882e-06,134,0.7119203805923462,0.331232488155365,0.8117817044258118,0.20000001788139343,1.4384371042251587,0.6266553401947021,1.4384371042251587,,
15,,143,,,,,,,,0.7196720838546753,0.6244339346885681
15,5.2978889470978174e-06,143,0.7152469754219055,0.24282214045524597,0.8284741044044495,0.20000001788139343,1.4537131786346436,0.6252391338348389,1.4537131786346436,,
16,,152,,,,,,,,0.7446721792221069,0.6093746423721313
16,5.475028956425376e-06,152,0.7208417654037476,0.1964285671710968,0.8447697758674622,0.20000001788139343,1.4645709991455078,0.61980140209198,1.4645709991455078,,
17,,161,,,,,,,,0.7299180030822754,0.6142957210540771
17,5.6633098211023025e-06,161,0.7395917177200317,0.15528711676597595,0.8640345335006714,0.20000001788139343,1.4739702939987183,0.6099355220794678,1.4739702939987183,,
18,,170,,,,,,,,0.7274590134620667,0.612080454826355
18,5.862689249624964e-06,170,0.7350805997848511,0.10784313827753067,0.8855705857276917,0.20000001788139343,1.4922176599502563,0.6066470146179199,1.4922176599502563,,
19,,179,,,,,,,,0.7073770761489868,0.6174060106277466
19,6.0731181292794645e-06,179,0.7307459115982056,0.07563025504350662,0.8979578018188477,0.20000001788139343,1.5028232336044312,0.604865312576294,1.5028232336044312,,
20,,188,,,,,,,,0.7258196473121643,0.615146279335022
