epoch,learning_rate,step,training_auroc,training_inbatch_coral_loss,training_inbatch_coral_weight,training_inbatch_domain_count,training_loss,training_source_loss,training_total_loss,validation_auroc,validation_loss
0,,9,,,,,,,,0.4985697865486145,0.6974364519119263
0,4.000507033197209e-06,9,0.473793625831604,6.719056545989588e-05,0.009999998845160007,2.0,0.6970135569572449,0.6970128417015076,0.6970135569572449,,
1,,19,,,,,,,,0.5004767179489136,0.6962228417396545
1,4.0182458178605884e-06,19,0.4728619158267975,6.710118032060564e-05,0.019999997690320015,2.0,0.6972025632858276,0.697201132774353,0.6972025632858276,,
2,,29,,,,,,,,0.5081998109817505,0.6954663991928101
2,4.069424903718755e-06,29,0.4974438548088074,6.633935117861256e-05,0.029999999329447746,2.0,0.6942654848098755,0.6942635178565979,0.6942654848098755,,
3,,39,,,,,,,,0.5104881525039673,0.6943981647491455
3,4.154007001488935e-06,39,0.4963808059692383,6.836823740741238e-05,0.03999999538064003,2.0,0.6949641108512878,0.6949613690376282,0.6949641108512878,,
4,,49,,,,,,,,0.5202136039733887,0.6938910484313965
4,4.271933448762866e-06,49,0.5143932104110718,6.969446258153766e-05,0.05000000447034836,2.0,0.6929858326911926,0.6929823756217957,0.6929858326911926,,
5,,59,,,,,,,,0.5210716724395752,0.6934565305709839
5,4.4231233005120885e-06,59,0.5279264450073242,6.61691083223559e-05,0.05000000447034836,2.0,0.691674530506134,0.6916713118553162,0.691674530506134,,
6,,69,,,,,,,,0.5286994576454163,0.6929691433906555
6,4.607469236361794e-06,69,0.5113472938537598,6.81727469782345e-05,0.05000000447034836,2.0,0.6929248571395874,0.69292151927948,0.6929248571395874,,
7,,79,,,,,,,,0.5288901329040527,0.692427396774292
7,4.8248443818010855e-06,79,0.518752932548523,6.713097536703572e-05,0.05000000447034836,2.0,0.6926162242889404,0.6926128268241882,0.6926162242889404,,
8,,89,,,,,,,,0.5305110216140747,0.6923394203186035
8,5.075095941720065e-06,89,0.5397993326187134,7.280922000063583e-05,0.05000000447034836,2.0,0.6911265850067139,0.6911230087280273,0.6911265850067139,,
9,,99,,,,,,,,0.5336575508117676,0.6922228932380676
9,5.358051566872746e-06,99,0.5372431874275208,6.538046000059694e-05,0.05000000447034836,2.0,0.6913366317749023,0.6913333535194397,0.6913366317749023,,
10,,109,,,,,,,,0.5282227396965027,0.691656768321991
