epoch,learning_rate,step,training_loss,validation_auroc,validation_loss
0,,6,,0.4076612889766693,0.3381443917751312
0,4.0030536183621734e-06,6,0.3415258228778839,,
1,,13,,0.4560483694076538,0.3355232775211334
1,4.063194410264259e-06,13,0.33692923188209534,,
2,,20,,0.5092742443084717,0.3340800702571869
2,4.2312722143833525e-06,20,0.3350086510181427,,
3,,27,,0.5532258152961731,0.3330897390842438
3,4.506909135670867e-06,27,0.33387491106987,,
4,,34,,0.5943548679351807,0.33110955357551575
4,4.889483989245491e-06,34,0.32964757084846497,,
5,,41,,0.6124999523162842,0.3277891278266907
5,5.3781350288772956e-06,41,0.32598933577537537,,
6,,48,,0.6330645084381104,0.3244227170944214
6,5.971763130219188e-06,48,0.32562240958213806,,
7,,55,,0.6435483694076538,0.32108938694000244
7,6.66903088131221e-06,55,0.32200101017951965,,
8,,62,,0.6540322303771973,0.31804633140563965
8,7.468368494301103e-06,62,0.3198654353618622,,
9,,69,,0.66411292552948,0.31602683663368225
9,8.367976079171058e-06,69,0.3162817656993866,,
10,,76,,0.6681451797485352,0.3161867558956146
10,9.365828191221226e-06,76,0.31119903922080994,,
11,,83,,0.6733870506286621,0.3138326406478882
11,1.0459676559548825e-05,83,0.3120799958705902,,
12,,90,,0.6725805997848511,0.3070358335971832
12,1.1647061910480261e-05,90,0.30946865677833557,,
13,,97,,0.6741935014724731,0.30438992381095886
13,1.2925307601108216e-05,97,0.30364835262298584,,
14,,104,,0.6705645322799683,0.3030908405780792
14,1.4291535080701578e-05,104,0.3002473711967468,,
15,,111,,0.6733870506286621,0.30393707752227783
15,1.5742669347673655e-05,111,0.2917478680610657,,
16,,118,,0.6794354915618896,0.3018389046192169
16,1.7275442587560974e-05,118,0.2901139557361603,,
17,,125,,0.6741935014724731,0.29697543382644653
17,1.8886405086959712e-05,125,0.28205323219299316,,
18,,132,,0.6766128540039062,0.2969425320625305
18,2.0571924324030988e-05,132,0.2807534337043762,,
19,,139,,0.6778225898742676,0.30165109038352966
19,2.2328211343847215e-05,139,0.2722785770893097,,
20,,146,,0.6782258152961731,0.3030053675174713
20,2.4151308025466278e-05,146,0.2711787223815918,,
21,,153,,0.6762096881866455,0.30120837688446045
21,2.603711254778318e-05,153,0.26511359214782715,,
22,,160,,0.6798387169837952,0.30716636776924133
22,2.7981373932561837e-05,160,0.264594167470932,,
23,,167,,0.6842741966247559,0.3060871362686157
23,2.9979719329276122e-05,167,0.2565068304538727,,
24,,174,,0.6879032254219055,0.30642807483673096
24,3.2027644920162857e-05,174,0.2547834515571594,,
25,,181,,0.6911290884017944,0.3010672330856323
25,3.412054866203107e-05,181,0.2521854043006897,,
26,,188,,0.6850806474685669,0.3033412992954254
26,3.625369936344214e-05,188,0.2529575526714325,,
27,,195,,0.6911290884017944,0.3086252510547638
27,3.842230944428593e-05,195,0.24369533360004425,,
28,,202,,0.6963709592819214,0.3035752773284912
28,4.0621500374982134e-05,202,0.24024219810962677,,
29,,209,,0.6967742443084717,0.2960849404335022
29,4.2846299038501456e-05,209,0.24619422852993011,,
30,,216,,0.7064516544342041,0.32861846685409546
30,4.509171412792057e-05,216,0.24682241678237915,,
31,,223,,0.7044354677200317,0.3105933368206024
31,4.735268157674e-05,223,0.2502811849117279,,
