epoch,learning_rate,step,training_auroc,training_inbatch_coral_loss,training_inbatch_coral_weight,training_inbatch_domain_count,training_loss,training_source_loss,training_total_loss,validation_auroc,validation_loss
0,,9,,,,,,,,0.43188709020614624,0.7036612629890442
0,4.000507033197209e-06,9,0.4766286015510559,6.224487151484936e-05,0.009999998845160007,2.0,0.6952853202819824,0.6952847242355347,0.6952853202819824,,
1,,19,,,,,,,,0.43757104873657227,0.7026218175888062
1,4.0182458178605884e-06,19,0.4911886155605316,5.4720738262403756e-05,0.019999997690320015,2.0,0.6946941614151001,0.6946930289268494,0.6946941614151001,,
2,,29,,,,,,,,0.45168623328208923,0.7015838027000427
2,4.069424903718755e-06,29,0.49226534366607666,5.5685173720121384e-05,0.029999999329447746,2.0,0.6949633955955505,0.6949617266654968,0.6949633955955505,,
3,,39,,,,,,,,0.4589806795120239,0.700527548789978
3,4.154007001488935e-06,39,0.517090380191803,5.7624754845164716e-05,0.03999999538064003,2.0,0.6933484077453613,0.6933461427688599,0.6933484077453613,,
4,,49,,,,,,,,0.46551722288131714,0.6992958188056946
4,4.271933448762866e-06,49,0.5087994337081909,5.3518575441557914e-05,0.05000000447034836,2.0,0.693659782409668,0.6936572194099426,0.693659782409668,,
5,,59,,,,,,,,0.473664253950119,0.698671817779541
5,4.4231233005120885e-06,59,0.541377067565918,5.568442793446593e-05,0.05000000447034836,2.0,0.6913420557975769,0.6913391351699829,0.6913420557975769,,
6,,69,,,,,,,,0.481905996799469,0.6980020999908447
6,4.607469236361794e-06,69,0.5516539812088013,5.486062582349405e-05,0.05000000447034836,2.0,0.690455973148346,0.6904532313346863,0.690455973148346,,
7,,79,,,,,,,,0.4891057312488556,0.6974537372589111
7,4.8248443818010855e-06,79,0.5620864629745483,5.371907536755316e-05,0.05000000447034836,2.0,0.6898914575576782,0.6898887753486633,0.6898914575576782,,
8,,89,,,,,,,,0.49251610040664673,0.6969152092933655
8,5.075095941720065e-06,89,0.5772925615310669,6.0168902564328164e-05,0.05000000447034836,2.0,0.689152181148529,0.6891490817070007,0.689152181148529,,
9,,99,,,,,,,,0.5057787299156189,0.6962378025054932
9,5.358051566872746e-06,99,0.591266393661499,5.859218799741939e-05,0.05000000447034836,2.0,0.6871865391731262,0.687183678150177,0.6871865391731262,,
10,,109,,,,,,,,0.5077680945396423,0.6954054832458496
10,5.673512532666791e-06,109,0.6207812428474426,5.3874904551776126e-05,0.05000000447034836,2.0,0.6847407221794128,0.6847379803657532,0.6847407221794128,,
11,,119,,,,,,,,0.517620325088501,0.6946755647659302
11,6.0212573771423195e-06,119,0.596853494644165,5.4877491493243724e-05,0.05000000447034836,2.0,0.6862995624542236,0.686296820640564,0.6862995624542236,,
12,,129,,,,,,,,0.5247252583503723,0.6938956379890442
12,6.401047357940115e-06,129,0.633139967918396,5.6506087275920436e-05,0.05000000447034836,2.0,0.6834318041801453,0.6834290027618408,0.6834318041801453,,
13,,139,,,,,,,,0.5274724960327148,0.6940495371818542
13,6.8126159931125585e-06,139,0.635780930519104,5.5644617532379925e-05,0.05000000447034836,2.0,0.6814305186271667,0.6814277768135071,0.6814305186271667,,
14,,149,,,,,,,,0.5272830724716187,0.6933958530426025
14,7.255674518091837e-06,149,0.6433391571044922,5.991198122501373e-05,0.05000000447034836,2.0,0.6806409955024719,0.6806380152702332,0.6806409955024719,,
15,,159,,,,,,,,0.5286093354225159,0.6932147145271301
15,7.729918252152856e-06,159,0.6482383012771606,5.5963297199923545e-05,0.05000000447034836,2.0,0.6799971461296082,0.6799943447113037,0.6799971461296082,,
16,,169,,,,,,,,0.5341985821723938,0.6919463276863098
16,8.235014320234768e-06,169,0.656912088394165,5.7764595112530515e-05,0.05000000447034836,2.0,0.6777448654174805,0.6777418851852417,0.6777448654174805,,
17,,179,,,,,,,,0.5385562777519226,0.6909655928611755
17,8.770610293140635e-06,179,0.6539570093154907,5.8264980907551944e-05,0.05000000447034836,2.0,0.677471399307251,0.677468478679657,0.677471399307251,,
18,,189,,,,,,,,0.5433876514434814,0.6900713443756104
18,9.336334187537432e-06,189,0.6632769107818604,6.137863238109276e-05,0.05000000447034836,2.0,0.6762455105781555,0.6762425303459167,0.6762455105781555,,
19,,199,,,,,,,,0.55229252576828,0.6894049644470215
19,9.931789463735186e-06,199,0.670742392539978,5.850928937434219e-05,0.05000000447034836,2.0,0.6731064319610596,0.6731034517288208,0.6731064319610596,,
20,,209,,,,,,,,0.5630921125411987,0.6857638359069824
20,1.0556563211139292e-05,209,0.6778608560562134,6.192571891006082e-05,0.05000000447034836,2.0,0.6714780926704407,0.6714749932289124,0.6714780926704407,,
21,,219,,,,,,,,0.5663130283355713,0.6843684911727905
