epoch,learning_rate,step,training_auroc,training_coral_loss,training_loss,training_source_loss,training_total_loss,validation_auroc,validation_loss
0,,6,,,,,,0.48422127962112427,0.6837966442108154
0,4.003178673883667e-06,6,0.45342743396759033,8.615588740212843e-05,0.707734227180481,0.7077299356460571,0.707734227180481,,
1,,13,,,,,,0.47418034076690674,0.6851580739021301
1,4.06356912208139e-06,13,0.48409777879714966,8.64325775182806e-05,0.7027425765991211,0.7027382254600525,0.7027425765991211,,
2,,20,,,,,,0.48340165615081787,0.6850540637969971
2,4.231895673001418e-06,20,0.4945564270019531,8.293087012134492e-05,0.7001762986183167,0.7001721262931824,0.7001762986183167,,
3,,27,,,,,,0.5104508399963379,0.6866800785064697
3,4.507779976847814e-06,27,0.5098538398742676,8.673090633237734e-05,0.6976333856582642,0.6976290941238403,0.6976333856582642,,
4,,34,,,,,,0.5204918384552002,0.6866392493247986
4,4.890600393991917e-06,34,0.5262600779533386,8.771432476351038e-05,0.6952491402626038,0.6952447295188904,0.6952491402626038,,
5,,41,,,,,,0.5229508280754089,0.6887902617454529
5,5.379494268709095e-06,41,0.5419607162475586,9.735447383718565e-05,0.6933810114860535,0.6933761239051819,0.6933810114860535,,
6,,48,,,,,,0.5278688669204712,0.6887937784194946
6,5.973362021904904e-06,48,0.5500503778457642,8.088829781627283e-05,0.6921278834342957,0.6921239495277405,0.6921278834342957,,
7,,55,,,,,,0.5409835577011108,0.6882908940315247
7,6.670866696367739e-06,55,0.576461672782898,9.238743950845674e-05,0.6893748044967651,0.6893702745437622,0.6893748044967651,,
8,,62,,,,,,0.5440573692321777,0.6874555349349976
8,7.470435775758233e-06,62,0.5943044424057007,9.055840928340331e-05,0.6871415972709656,0.6871370673179626,0.6871415972709656,,
9,,69,,,,,,0.5442622900009155,0.6870664358139038
9,8.370270734303631e-06,69,0.604662299156189,8.186787454178557e-05,0.6850399971008301,0.6850358843803406,0.6850399971008301,,
10,,76,,,,,,0.5475410223007202,0.6847947835922241
10,9.368345672555733e-06,76,0.6212449669837952,8.820163202472031e-05,0.6817797422409058,0.6817752718925476,0.6817797422409058,,
11,,83,,,,,,0.5514343976974487,0.6830098628997803
11,1.0462411410117056e-05,83,0.6324596405029297,8.851520397001877e-05,0.6795613169670105,0.6795569062232971,0.6795613169670105,,
12,,90,,,,,,0.5461065769195557,0.6797478795051575
12,1.1650006854324602e-05,90,0.6491179466247559,9.260491788154468e-05,0.6759057641029358,0.6759012341499329,0.6759057641029358,,
13,,97,,,,,,0.5594262480735779,0.6741227507591248
13,1.2928455362271052e-05,97,0.6510080099105835,7.78027533669956e-05,0.673306941986084,0.6733030676841736,0.673306941986084,,
14,,104,,,,,,0.556557297706604,0.6692525744438171
14,1.42948802022147e-05,104,0.6629284620285034,9.448106720810756e-05,0.6689717769622803,0.668967068195343,0.6689717769622803,,
15,,111,,,,,,0.5602458715438843,0.6669339537620544
15,1.5746203644084744e-05,111,0.6730090379714966,9.563835192238912e-05,0.6652601361274719,0.6652553677558899,0.6652601361274719,,
16,,118,,,,,,0.5680328011512756,0.6631768941879272
16,1.7279158782912418e-05,118,0.6818296909332275,8.843868272379041e-05,0.6607946753501892,0.6607903242111206,0.6607946753501892,,
17,,125,,,,,,0.568852424621582,0.6562307476997375
17,1.889029226731509e-05,125,0.6875,0.00011581174476305023,0.6570675373077393,0.6570618748664856,0.6570675373077393,,
18,,132,,,,,,0.5797131061553955,0.6544126272201538
18,2.0575977032422088e-05,132,0.6935988068580627,9.763920388650149e-05,0.6516225934028625,0.6516177654266357,0.6516225934028625,,
19,,139,,,,,,0.5913934707641602,0.6482682824134827
19,2.2332418666337617e-05,139,0.7003780603408813,0.00011193798127351329,0.6467956900596619,0.646790087223053,0.6467956900596619,,
20,,146,,,,,,0.5942623019218445,0.6454550623893738
20,2.4155660867108963e-05,146,0.7091733813285828,0.00011096574598923326,0.6409580111503601,0.640952467918396,0.6409580111503601,,
21,,153,,,,,,0.5981557369232178,0.642594039440155
21,2.604159999464173e-05,153,0.7103830575942993,0.00012320787936914712,0.6365376114845276,0.6365313529968262,0.6365376114845276,,
22,,160,,,,,,0.6032786965370178,0.6359313130378723
22,2.7985990527668037e-05,160,0.7152469158172607,0.00011849658767459914,0.6303683519363403,0.6303623914718628,0.6303683519363403,,
23,,167,,,,,,0.6051229238510132,0.6340029835700989
23,2.9984450520714745e-05,167,0.7181199789047241,0.00012125035573262721,0.6258977055549622,0.6258916258811951,0.6258977055549622,,
24,,174,,,,,,0.6209015846252441,0.627214252948761
24,3.203247979399748e-05,174,0.7226058840751648,0.0001406903611496091,0.6200039982795715,0.6199969053268433,0.6200039982795715,,
25,,181,,,,,,0.6344262361526489,0.6215023994445801
25,3.412547448533587e-05,181,0.7267136573791504,0.00015219414490275085,0.614081859588623,0.614074170589447,0.614081859588623,,
26,,188,,,,,,0.6430327892303467,0.6164319515228271
26,3.62587088602595e-05,188,0.7294102907180786,0.00015953461115714163,0.6082847714424133,0.6082767844200134,0.6082847714424133,,
