epoch,learning_rate,step,training_auroc,training_loss,validation_auroc,validation_loss
18,,132,,,0.7440574169158936,0.5866113305091858
18,1.5734178305137902e-05,132,0.7723286151885986,0.547051727771759,,
19,,139,,,0.75,0.5802584290504456
19,1.6157058780663647e-05,139,0.7748488187789917,0.5473833084106445,,
20,,146,,,0.7487704753875732,0.5613142848014832
20,1.6602270989096723e-05,146,0.7807207703590393,0.5408245325088501,,
21,,153,,,0.7334016561508179,0.5846943855285645
21,1.7069745808839798e-05,153,0.7877267599105835,0.5398584604263306,,
22,,160,,,0.7479508519172668,0.5604976415634155
22,1.755940684233792e-05,160,0.8029485940933228,0.5285983085632324,,
23,,167,,,0.7284836173057556,0.5881826877593994
23,1.8071174054057337e-05,167,0.7995715737342834,0.5255706310272217,,
24,,174,,,0.7536885142326355,0.56258624792099
24,1.8604965589474887e-05,174,0.8082913160324097,0.5181450247764587,,
25,,181,,,0.7393442988395691,0.5718599557876587
25,1.916070505103562e-05,181,0.8113911151885986,0.5212985873222351,,
26,,188,,,0.7374999523162842,0.596582293510437
26,1.973829603230115e-05,188,0.8174647092819214,0.5138902068138123,,
27,,195,,,0.7399590015411377,0.5672258734703064
27,2.033764212683309e-05,195,0.8266381025314331,0.5029667615890503,,
28,,202,,,0.7372951507568359,0.5855041742324829
28,2.0958652385161258e-05,202,0.827343761920929,0.5028784275054932,,
29,,209,,,0.73647540807724,0.6222390532493591
29,2.1601232219836675e-05,209,0.8361390829086304,0.4958473742008209,,
30,,216,,,0.7383196949958801,0.5642017126083374
30,2.226527067250572e-05,216,0.8353074789047241,0.49086570739746094,,
31,,223,,,0.7432377338409424,0.6543927192687988
31,2.2950673155719414e-05,223,0.8370463848114014,0.4873869717121124,,
32,,230,,,0.7401639223098755,0.5741438269615173
32,2.3657321435166523e-05,230,0.8452117443084717,0.48328492045402527,,
33,,237,,,0.7346311211585999,0.6512367129325867
33,2.4385097276535816e-05,237,0.8547883033752441,0.47701966762542725,,
34,,244,,,0.737500011920929,0.6041839718818665
34,2.5133896997431293e-05,244,0.8646925687789917,0.46172621846199036,,
