epoch,learning_rate,step,training_auroc,training_distillation_loss,training_distillation_weight,training_domain_acc,training_domain_loss,training_domain_weight,training_loss,training_source_loss,training_total_loss,validation_auroc,validation_loss
0,,6,,,,,,,,,,0.6137096881866455,0.6768442988395691
0,4.001942670583958e-06,6,0.5717611312866211,0.3365342319011688,0.02500000037252903,0.2733687460422516,0.7169148921966553,0.05000000074505806,1.4164618253707886,0.6911336183547974,1.4164618253707886,,
1,,13,,,,,,,,,,0.6342741847038269,0.6761341691017151
1,4.040205567434896e-06,13,0.5935222506523132,0.3306213617324829,0.05000000074505806,0.2849283516407013,0.7173729538917542,0.10000000149011612,1.422951102256775,0.68904709815979,1.422951102256775,,
2,,20,,,,,,,,,,0.6455645561218262,0.6753507852554321
2,4.147169875068357e-06,20,0.6008096933364868,0.31818336248397827,0.07499999552965164,0.27401062846183777,0.7162797451019287,0.14999999105930328,1.4278818368911743,0.6877384185791016,1.4278818368911743,,
3,,27,,,,,,,,,,0.6645160913467407,0.674238383769989
3,4.322683253121795e-06,27,0.6143724918365479,0.30429232120513916,0.10000000149011612,0.24167262017726898,0.717401921749115,0.20000000298023224,1.433450698852539,0.6856195330619812,1.433450698852539,,
4,,34,,,,,,,,,,0.6689516305923462,0.6735314130783081
4,4.566494226310169e-06,34,0.6222925186157227,0.2892412841320038,0.125,0.287899374961853,0.7164146900177002,0.25,1.4366239309310913,0.6840541958808899,1.4366239309310913,,
5,,41,,,,,,,,,,0.6899193525314331,0.6707905530929565
5,4.878252639173297e-06,41,0.6310222744941711,0.267726868391037,0.14999999105930328,0.23199671506881714,0.7186951041221619,0.29999998211860657,1.4412411451339722,0.6823869943618774,1.4412411451339722,,
6,,48,,,,,,,,,,0.704032301902771,0.669443666934967
6,5.25751283930731e-06,48,0.638942301273346,0.24860084056854248,0.17499999701976776,0.22394628822803497,0.719514787197113,0.3499999940395355,1.443651795387268,0.6806317567825317,1.443651795387268,,
7,,55,,,,,,,,,,0.7133064270019531,0.6656448245048523
7,5.7037318583752494e-06,55,0.6467105150222778,0.22427093982696533,0.20000000298023224,0.22048914432525635,0.7202250361442566,0.4000000059604645,1.443949580192566,0.678870439529419,1.443949580192566,,
8,,62,,,,,,,,,,0.72661292552948,0.6624225378036499
8,6.2162680478650145e-06,62,0.6515434980392456,0.19897593557834625,0.20000000298023224,0.1682368963956833,0.7251120805740356,0.45000001788139343,1.4419493675231934,0.6770420670509338,1.4419493675231934,,
9,,69,,,,,,,,,,0.7322580814361572,0.6598188281059265
9,6.794390628783731e-06,69,0.6586791276931763,0.17456459999084473,0.20000000298023224,0.16338016092777252,0.7265563607215881,0.5,1.4366906881332397,0.6752214431762695,1.4366906881332397,,
10,,76,,,,,,,,,,0.7395161390304565,0.65559321641922
10,7.437268777721329e-06,76,0.6614625453948975,0.14887253940105438,0.20000000298023224,0.13188454508781433,0.7292905449867249,0.5,1.432854413986206,0.673789381980896,1.432854413986206,,
11,,83,,,,,,,,,,0.7411290407180786,0.6518100500106812
11,8.143982995534316e-06,83,0.6692813634872437,0.12360730767250061,0.20000000298023224,0.09437430649995804,0.7360924482345581,0.5,1.4323879480361938,0.6715741157531738,1.4323879480361938,,
12,,90,,,,,,,,,,0.7411290407180786,0.6489974856376648
12,8.913521014619619e-06,90,0.6730010509490967,0.10255714505910873,0.20000000298023224,0.06594771891832352,0.7415452003479004,0.5,1.4315831661224365,0.6695265173912048,1.4315831661224365,,
13,,97,,,,,,,,,,0.7467741966247559,0.647020697593689
13,9.744779163156636e-06,97,0.6797317862510681,0.08307955414056778,0.20000000298023224,0.04928690567612648,0.7463131546974182,0.5,1.4300509691238403,0.6671218276023865,1.4300509691238403,,
14,,104,,,,,,,,,,0.7447580099105835,0.6445154547691345
14,1.0636567822075449e-05,104,0.6784919500350952,0.0646013543009758,0.20000000298023224,0.02844313345849514,0.7547845244407654,0.5,1.4328335523605347,0.665128767490387,1.4328335523605347,,
15,,111,,,,,,,,,,0.7487903237342834,0.6418918371200562
15,1.1587609151320066e-05,111,0.6821355819702148,0.05064912885427475,0.20000000298023224,0.02698627859354019,0.7608267664909363,0.5,1.4330939054489136,0.6621372699737549,1.4330939054489136,,
16,,118,,,,,,,,,,0.7504032254219055,0.6393482685089111
16,1.2596541637321934e-05,118,0.6858552694320679,0.03788244351744652,0.20000000298023224,0.01631022058427334,0.7670366168022156,0.5,1.4338233470916748,0.6592103838920593,1.4338233470916748,,
17,,125,,,,,,,,,,0.7504032254219055,0.6389964818954468
17,1.366191736451583e-05,125,0.6882338523864746,0.028522534295916557,0.20000000298023224,0.012132911942899227,0.775619626045227,0.5,1.4378705024719238,0.656546413898468,1.4378705024719238,,
18,,132,,,,,,,,,,0.7540322542190552,0.6377809643745422
18,1.4782214748265687e-05,132,0.6913461685180664,0.021036000922322273,0.20000000298023224,0.007061158772557974,0.7821477055549622,0.5,1.4401954412460327,0.6538405418395996,1.4401954412460327,,
19,,139,,,,,,,,,,0.7568548321723938,0.6383538246154785
19,1.5955825801938772e-05,139,0.6952935457229614,0.015836112201213837,0.20000000298023224,0.009518161416053772,0.7886082530021667,0.5,1.4423884153366089,0.6506128907203674,1.4423884153366089,,
