epoch,learning_rate,step,training_auroc,training_domain_balanced_blend,training_domain_balanced_loss,training_loss,training_source_loss,training_total_loss,validation_auroc,validation_loss
0,,9,,,,,,,0.5036630630493164,0.699553370475769
0,4.0005338632909115e-06,9,0.4936390519142151,1.0,0.6948493719100952,0.6948493719100952,0.6948493719100952,0.6948493719100952,,
1,,19,,,,,,,0.5138808488845825,0.6989820599555969
1,4.018327217636397e-06,19,0.5046069622039795,1.0,0.695242166519165,0.695242166519165,0.695242166519165,0.695242166519165,,
2,,29,,,,,,,0.5240023136138916,0.6978911757469177
2,4.069561327924021e-06,29,0.5085289478302002,1.0,0.6934072375297546,0.6934072375297546,0.6934072375297546,0.6934072375297546,,
3,,39,,,,,,,0.519568145275116,0.6964703798294067
3,4.154197540628957e-06,39,0.5416319370269775,1.0,0.691353440284729,0.691353440284729,0.691353440284729,0.691353440284729,,
4,,49,,,,,,,0.5297859907150269,0.6953741312026978
4,4.272178102837643e-06,49,0.5362120866775513,1.0,0.6939306259155273,0.6939306259155273,0.6939306259155273,0.6939306259155273,,
5,,59,,,,,,,0.5309427380561829,0.6941379904747009
5,4.423422069521621e-06,59,0.5508993268013,1.0,0.6892630457878113,0.6892630457878113,0.6892630457878113,0.6892630457878113,,
6,,69,,,,,,,0.5298823714256287,0.69342440366745
6,4.607821665558731e-06,69,0.547409176826477,1.0,0.6912325024604797,0.6912325024604797,0.6912325024604797,0.6912325024604797,,
7,,79,,,,,,,0.5383651256561279,0.6922553181648254
7,4.825250925932778e-06,79,0.5561524629592896,1.0,0.6899495720863342,0.6899495720863342,0.6899495720863342,0.6899495720863342,,
8,,89,,,,,,,0.5450164079666138,0.69068443775177
8,5.075555691291811e-06,89,0.5845741629600525,1.0,0.6874997019767761,0.6874997019767761,0.6874997019767761,0.6874997019767761,,
9,,99,,,,,,,0.5507037043571472,0.6895014047622681
9,5.358564067137195e-06,99,0.5821918249130249,1.0,0.6881921291351318,0.6881921291351318,0.6881921291351318,0.6881921291351318,,
10,,109,,,,,,,0.5541739463806152,0.6890100240707397
10,5.674077783623943e-06,109,0.586944580078125,1.0,0.6878659129142761,0.6878659129142761,0.6878659129142761,0.6878659129142761,,
11,,119,,,,,,,0.5633314251899719,0.6882067918777466
11,6.021874924044823e-06,119,0.5975342988967896,1.0,0.6870970129966736,0.6870970129966736,0.6870970129966736,0.6870970129966736,,
12,,129,,,,,,,0.571910560131073,0.68708336353302
12,6.401716291293269e-06,129,0.6033471822738647,1.0,0.6852227449417114,0.6852227449417114,0.6852227449417114,0.6852227449417114,,
13,,139,,,,,,,0.5764410495758057,0.6860966086387634
13,6.813335858169012e-06,139,0.6086480021476746,1.0,0.6839193105697632,0.6839193105697632,0.6839193105697632,0.6839193105697632,,
14,,149,,,,,,,0.5780798196792603,0.6860611438751221
14,7.256446224346291e-06,149,0.6439309120178223,1.0,0.681598424911499,0.681598424911499,0.681598424911499,0.681598424911499,,
15,,159,,,,,,,0.5843454599380493,0.6853614449501038
15,7.730739525868557e-06,159,0.6212507486343384,1.0,0.6835518479347229,0.6835518479347229,0.6835518479347229,0.6835518479347229,,
16,,169,,,,,,,0.5845382809638977,0.6844323873519897
16,8.235885616159067e-06,169,0.6518284678459167,1.0,0.6798722743988037,0.6798722743988037,0.6798722743988037,0.6798722743988037,,
17,,179,,,,,,,0.6030460596084595,0.682165265083313
17,8.771530701778829e-06,179,0.6563549637794495,1.0,0.6792983412742615,0.6792983412742615,0.6792983412742615,0.6792983412742615,,
18,,189,,,,,,,0.6021785140037537,0.6810300946235657
18,9.33730279939482e-06,189,0.6482221484184265,1.0,0.679841160774231,0.679841160774231,0.679841160774231,0.679841160774231,,
19,,199,,,,,,,0.6062270998954773,0.6797216534614563
19,9.932806278811768e-06,199,0.6683382987976074,1.0,0.6775234937667847,0.6775234937667847,0.6775234937667847,0.6775234937667847,,
20,,209,,,,,,,0.6130712032318115,0.6784685850143433
20,1.0557627319940366e-05,209,0.6658010482788086,1.0,0.6745544672012329,0.6745544672012329,0.6745544672012329,0.6745544672012329,,
21,,219,,,,,,,0.6273375749588013,0.6759657859802246
21,1.1211331184313167e-05,219,0.6637045741081238,1.0,0.6769540309906006,0.6769540309906006,0.6769540309906006,0.6769540309906006,,
22,,229,,,,,,,0.6406400203704834,0.6741685271263123
22,1.1893459486600477e-05,229,0.6742942333221436,1.0,0.6760803461074829,0.6760803461074829,0.6760803461074829,0.6760803461074829,,
23,,239,,,,,,,0.6515326499938965,0.6739713549613953
23,1.2603540199052077e-05,239,0.6912686824798584,1.0,0.6724346876144409,0.6724346876144409,0.6724346876144409,0.6724346876144409,,
24,,249,,,,,,,0.6619433164596558,0.6736662983894348
24,1.3341076737560797e-05,249,0.7141393423080444,1.0,0.6704805493354797,0.6704805493354797,0.6704805493354797,0.6704805493354797,,
25,,259,,,,,,,0.6600154638290405,0.6725281476974487
25,1.4105557966104243e-05,259,0.7214413285255432,1.0,0.6674264073371887,0.6674264073371887,0.6674264073371887,0.6674264073371887,,
26,,269,,,,,,,0.6592442989349365,0.6696082949638367
26,1.4896445463818964e-05,269,0.7103276252746582,1.0,0.6663040518760681,0.6663040518760681,0.6663040518760681,0.6663040518760681,,
27,,279,,,,,,,0.6550992727279663,0.6684969067573547
27,1.571319080539979e-05,279,0.7220726609230042,1.0,0.6628513932228088,0.6628513932228088,0.6628513932228088,0.6628513932228088,,
28,,289,,,,,,,0.6543281078338623,0.666965126991272
28,1.6555224647163413e-05,289,0.72216796875,1.0,0.6601762175559998,0.6601762175559998,0.6601762175559998,0.6601762175559998,,
29,,299,,,,,,,0.6749566197395325,0.663002610206604
29,1.7421962184016593e-05,299,0.722370445728302,1.0,0.6584811806678772,0.6584811806678772,0.6584811806678772,0.6584811806678772,,
30,,309,,,,,,,0.6783304214477539,0.6597659587860107
30,1.8312795873498544e-05,309,0.7405836582183838,1.0,0.655001163482666,0.655001163482666,0.655001163482666,0.655001163482666,,
31,,319,,,,,,,0.6746674180030823,0.6574219465255737
31,1.9227107259212062e-05,319,0.7452888488769531,1.0,0.6537494659423828,0.6537494659423828,0.6537494659423828,0.6537494659423828,,
32,,329,,,,,,,0.6777520775794983,0.6572824120521545
32,2.0164261513855308e-05,329,0.7436926364898682,1.0,0.6514107584953308,0.6514107584953308,0.6514107584953308,0.6514107584953308,,
33,,339,,,,,,,0.6813187003135681,0.6554628014564514
33,2.1123601982253604e-05,339,0.7451459169387817,1.0,0.6493428945541382,0.6493428945541382,0.6493428945541382,0.6493428945541382,,
34,,349,,,,,,,0.6736071109771729,0.654306173324585
34,2.2104453819338232e-05,349,0.7470993995666504,1.0,0.644690752029419,0.644690752029419,0.644690752029419,0.644690752029419,,
35,,359,,,,,,,0.673125147819519,0.6519041061401367
35,2.3106143999029882e-05,359,0.7452055215835571,1.0,0.6423671245574951,0.6423671245574951,0.6423671245574951,0.6423671245574951,,
36,,369,,,,,,,0.6806439161300659,0.6519317626953125
36,2.4127974029397592e-05,369,0.7457534074783325,1.0,0.6405655741691589,0.6405655741691589,0.6405655741691589,0.6405655741691589,,
37,,379,,,,,,,0.6839213371276855,0.6495580673217773
37,2.5169232685584575e-05,379,0.7524240016937256,1.0,0.637023389339447,0.637023389339447,0.637023389339447,0.637023389339447,,
