epoch,learning_rate,step,training_auroc,training_loss,validation_auroc,validation_loss
0,,6,,,0.5784835815429688,0.7797276973724365
0,4.000783064839197e-06,6,0.5307459831237793,0.7575865387916565,,
1,,13,,,0.5625,0.7133633494377136
1,4.0156578506866936e-06,13,0.5177797079086304,0.7144312858581543,,
2,,20,,,0.5633196830749512,0.6804280877113342
2,4.0571449062554166e-06,20,0.5356351137161255,0.6920459866523743,,
3,,27,,,0.5809426307678223,0.6694222688674927
3,4.125220129935769e-06,27,0.5606224536895752,0.6862726211547852,,
4,,34,,,0.5971311330795288,0.6640722155570984
4,4.219846232444979e-06,34,0.5540700554847717,0.688975989818573,,
5,,41,,,0.6149590015411377,0.6607627272605896
5,4.340970463090343e-06,41,0.5592867732048035,0.6881743669509888,,
6,,48,,,0.6356557011604309,0.6595862507820129
6,4.488525519263931e-06,48,0.6040574312210083,0.6786566376686096,,
7,,55,,,0.6528688669204712,0.6593303680419922
7,4.662429546442581e-06,55,0.6130922436714172,0.6733072400093079,,
8,,62,,,0.6702868938446045,0.6602557897567749
8,4.8625865929352585e-06,62,0.6224672198295593,0.6715847849845886,,
9,,69,,,0.6793032884597778,0.6610106825828552
9,5.088885245640995e-06,69,0.6359753012657166,0.6688128709793091,,
10,,76,,,0.6889344453811646,0.6572288870811462
10,5.341199994290946e-06,76,0.6824092864990234,0.6579402089118958,,
11,,83,,,0.6961065530776978,0.6498656868934631
11,5.619390776701039e-06,83,0.6752268075942993,0.656996488571167,,
12,,90,,,0.6973360776901245,0.64177006483078
12,5.9233034335193224e-06,90,0.6633820533752441,0.6540459394454956,,
13,,97,,,0.7030737400054932,0.6359010934829712
13,6.25277016297332e-06,97,0.6948336362838745,0.646619975566864,,
14,,104,,,0.7053278684616089,0.6301286816596985
14,6.607606792385923e-06,104,0.719606876373291,0.6412885785102844,,
15,,111,,,0.7075819969177246,0.6297768354415894
15,6.987618689890951e-06,111,0.7226814031600952,0.6369183659553528,,
16,,118,,,0.7184426188468933,0.6322280168533325
16,7.39259303372819e-06,118,0.7353578805923462,0.6257263422012329,,
17,,125,,,0.7151638865470886,0.6218280792236328
17,7.822305633453652e-06,125,0.7421119213104248,0.6233471035957336,,
18,,132,,,0.7262295484542847,0.622547447681427
18,8.276517291960772e-06,132,0.7372983694076538,0.6150906085968018,,
19,,139,,,0.7200819253921509,0.6174865365028381
19,8.754979717195965e-06,139,0.7320060729980469,0.6130984425544739,,
20,,146,,,0.7217212915420532,0.6097974181175232
20,9.257424608222209e-06,146,0.7382056713104248,0.6061530113220215,,
21,,153,,,0.721926212310791,0.6112461090087891
21,9.78357365966076e-06,153,0.736088752746582,0.6029829978942871,,
22,,160,,,0.7372950911521912,0.6046055555343628
22,1.0333135833207052e-05,160,0.736567497253418,0.596305787563324,,
23,,167,,,0.7241803407669067,0.6057287454605103
23,1.0905804629146587e-05,167,0.7268145084381104,0.6013824939727783,,
24,,174,,,0.7186475396156311,0.6064069867134094
24,1.150126445281785e-05,174,0.737424373626709,0.5873656868934631,,
25,,181,,,0.7258197069168091,0.6084669232368469
25,1.2119184248149395e-05,181,0.7495464086532593,0.5779348015785217,,
26,,188,,,0.7079917788505554,0.5997041463851929
26,1.2759222045133356e-05,188,0.7524445056915283,0.5741394758224487,,
27,,195,,,0.7284835577011108,0.60765141248703
27,1.3421020412351936e-05,195,0.7607107162475586,0.5659500360488892,,
28,,202,,,0.7241803407669067,0.605829119682312
28,1.4104214642429724e-05,202,0.7556703686714172,0.5611037611961365,,
29,,209,,,0.7444672584533691,0.6111768484115601
29,1.4808426385570783e-05,209,0.7574344873428345,0.5618060827255249,,
30,,216,,,0.7307376861572266,0.6045271754264832
30,1.5533261830569245e-05,216,0.7646169662475586,0.5562960505485535,,
31,,223,,,0.7272540926933289,0.5974289774894714
31,1.627832170925103e-05,223,0.7730846405029297,0.549511194229126,,
32,,230,,,0.7487704753875732,0.606041431427002
32,1.7043195839505643e-05,230,0.7740171551704407,0.5497189164161682,,
33,,237,,,0.7221311330795288,0.5809082388877869
33,1.782745312084444e-05,237,0.774243950843811,0.5483521819114685,,
34,,244,,,0.7565574049949646,0.6149175763130188
34,1.863066245277878e-05,244,0.7766885161399841,0.5436321496963501,,
35,,251,,,0.7393442392349243,0.585123598575592
35,1.945237636391539e-05,251,0.7869455814361572,0.5361547470092773,,
36,,258,,,0.7682377099990845,0.598758339881897
36,2.02921455638716e-05,258,0.7966229915618896,0.5315540432929993,,
37,,265,,,0.7356557250022888,0.5870789885520935
37,2.1149493477423675e-05,265,0.8040322661399841,0.5280963778495789,,
38,,272,,,0.7374999523162842,0.5810062289237976
38,2.2023952624294907e-05,272,0.8114919662475586,0.5218295454978943,,
39,,279,,,0.7469262480735779,0.6290926933288574
39,2.2915037334314547e-05,279,0.8058468103408813,0.5291057229042053,,
40,,286,,,0.7389344573020935,0.5723275542259216
40,2.3822254661354236e-05,286,0.8114162683486938,0.5162946581840515,,
41,,293,,,0.7092213034629822,0.6501843929290771
41,2.474509528838098e-05,293,0.8301663398742676,0.49947431683540344,,
42,,300,,,0.7178279161453247,0.5834458470344543
42,2.5683049898361787e-05,300,0.8177922964096069,0.5113692283630371,,
43,,307,,,0.7313524484634399,0.6655611991882324
43,2.6635600079316646e-05,307,0.8387601375579834,0.48821699619293213,,
44,,314,,,0.7545082569122314,0.5982213020324707
44,2.7602221962297335e-05,314,0.8365170955657959,0.4902791678905487,,
45,,321,,,0.7444672584533691,0.6441440582275391
45,2.858236985048279e-05,321,0.8384324312210083,0.47849342226982117,,
46,,328,,,0.7485655546188354,0.598652720451355
46,2.9575503504020162e-05,328,0.8466986417770386,0.47191154956817627,,
47,,335,,,0.7139344215393066,0.6644662022590637
47,3.0581079045077786e-05,335,0.8568547964096069,0.465087354183197,,
48,,342,,,0.7061475515365601,0.716016948223114
48,3.1598527129972354e-05,342,0.8647933006286621,0.4533092677593231,,
49,,349,,,0.7088114619255066,0.6259855628013611
49,3.262729660491459e-05,349,0.8746471405029297,0.4470294415950775,,
50,,356,,,0.7077869176864624,0.6640005111694336
50,3.3666801755316556e-05,356,0.8434727787971497,0.4702497720718384,,
51,,363,,,0.7194672226905823,1.012743592262268
51,3.471647505648434e-05,363,0.868850827217102,0.4432589113712311,,
52,,370,,,0.6950819492340088,0.6545036435127258
52,3.577573806978762e-05,370,0.8380796313285828,0.4958060681819916,,
53,,377,,,0.6913934350013733,0.7365317940711975
53,3.6844001442659646e-05,377,0.8762348890304565,0.4376180171966553,,
54,,384,,,0.6848360300064087,0.725199282169342
54,3.792066127061844e-05,384,0.8936492204666138,0.4174928367137909,,
55,,391,,,0.7110655307769775,0.6880021095275879
55,3.9005135477054864e-05,391,0.9007308483123779,0.40375006198883057,,
56,,398,,,0.7127048969268799,0.665911853313446
56,4.009681651950814e-05,398,0.9064264297485352,0.39127910137176514,,
57,,405,,,0.7069672346115112,1.0886096954345703
57,4.119508957955986e-05,405,0.893674373626709,0.4002251625061035,,
58,,412,,,0.7204918265342712,1.0092166662216187
58,4.229936530464329e-05,412,0.8433971405029297,0.5013028979301453,,
59,,419,,,0.701229453086853,0.6773562431335449
59,4.340902887634002e-05,419,0.8507812023162842,0.4760349988937378,,
60,,426,,,0.6622950434684753,0.7330086827278137
60,4.452343637240119e-05,426,0.9252520203590393,0.37013205885887146,,
