epoch,learning_rate,step,training_auroc,training_distillation_loss,training_distillation_weight,training_loss,training_source_loss,training_total_loss,validation_auroc,validation_loss
0,,6,,,,,,,0.5580644607543945,0.6717666983604431
0,4.001942670583958e-06,6,0.5226973295211792,0.45103326439857483,0.04374999925494194,0.7184615731239319,0.6987287998199463,0.7184615731239319,,
1,,13,,,,,,,0.5766129493713379,0.6714738011360168
1,4.040205567434896e-06,13,0.5602226853370667,0.44322824478149414,0.08749999850988388,0.7331711649894714,0.6943886280059814,0.7331711649894714,,
2,,20,,,,,,,0.5921370983123779,0.6722986102104187
2,4.147169875068357e-06,20,0.5840080976486206,0.42751163244247437,0.13125000894069672,0.7476218938827515,0.6915110945701599,0.7476218938827515,,
3,,27,,,,,,,0.6116935014724731,0.6712572574615479
3,4.322683253121795e-06,27,0.5973937511444092,0.4100307822227478,0.17499999701976776,0.7610423564910889,0.6892868876457214,0.7610423564910889,,
4,,34,,,,,,,0.586693525314331,0.6709109544754028
4,4.566494226310169e-06,34,0.6264170408248901,0.387106329202652,0.21875,0.7710601091384888,0.6863806247711182,0.7710601091384888,,
5,,41,,,,,,,0.5897177457809448,0.6694459915161133
5,4.878252639173297e-06,41,0.642459511756897,0.36184948682785034,0.26250001788139343,0.7788766026496887,0.6838911175727844,0.7788766026496887,,
6,,48,,,,,,,0.611088752746582,0.6695424914360046
6,5.25751283930731e-06,48,0.6575911045074463,0.3302975594997406,0.3062499761581421,0.7827581167221069,0.6816045641899109,0.7827581167221069,,
7,,55,,,,,,,0.6439516544342041,0.6669065952301025
7,5.7037318583752494e-06,55,0.665662944316864,0.30069124698638916,0.3499999940395355,0.785013735294342,0.6797717809677124,0.785013735294342,,
8,,62,,,,,,,0.6504032015800476,0.6646813154220581
8,6.2162680478650145e-06,62,0.6792763471603394,0.2657497823238373,0.3499999940395355,0.7705071568489075,0.6774946451187134,0.7705071568489075,,
9,,69,,,,,,,0.6770161390304565,0.6598466634750366
9,6.794390628783731e-06,69,0.6832237243652344,0.23003654181957245,0.3499999940395355,0.7566592693328857,0.6761465072631836,0.7566592693328857,,
10,,76,,,,,,,0.6709677577018738,0.6581270098686218
