domain,method,n_patients,auc,auprc,acc,f1
ourdata,baseline_abmil,102,0.7870967741935483,0.8613443988222144,0.6568627450980392,0.6728971962616822
ourdata,showcase_abmil,102,0.9508064516129032,0.9586391188718195,0.7843137254901961,0.7962962962962963
ourdata,showcase_weak_logits,102,0.9689516129032258,0.9742129486845562,0.9313725490196079,0.943089430894309
tcga,baseline_abmil,47,0.5607843137254901,0.7547054295333809,0.574468085106383,0.6774193548387096
tcga,showcase_abmil,47,0.7431372549019608,0.8513715977901681,0.6808510638297872,0.7457627118644068
tcga,showcase_weak_logits,47,0.9568627450980391,0.9759979749910174,0.8297872340425532,0.8461538461538461
