epoch,learning_rate,step,training_auroc,training_loss,training_pseudolabel_loss,training_pseudolabel_weight,training_source_loss,training_total_loss,validation_auroc,validation_loss
0,,6,,,,,,,0.4415322542190552,0.7023688554763794
0,4.001942670583958e-06,6,0.47203946113586426,0.7478055953979492,0.8372765779495239,0.0625,0.6954758763313293,0.7478055953979492,,
1,,13,,,,,,,0.4550403356552124,0.7004347443580627
1,4.040205567434896e-06,13,0.4828694462776184,0.7957761883735657,0.8121946454048157,0.125,0.6942518949508667,0.7957761883735657,,
2,,20,,,,,,,0.4643145203590393,0.6979303359985352
2,4.147169875068357e-06,20,0.5234817266464233,0.8375410437583923,0.7782941460609436,0.1875,0.6916109323501587,0.8375410437583923,,
3,,27,,,,,,,0.48064514994621277,0.694553554058075
3,4.322683253121795e-06,27,0.5475455522537231,0.8750874996185303,0.7421334385871887,0.25,0.6895542144775391,0.8750874996185303,,
4,,34,,,,,,,0.49092739820480347,0.6929125785827637
4,4.566494226310169e-06,34,0.5709007978439331,0.9073262214660645,0.7022490501403809,0.3125,0.687873363494873,0.9073262214660645,,
5,,41,,,,,,,0.4931451678276062,0.68916916847229
5,4.878252639173297e-06,41,0.5989625453948975,0.9362546801567078,0.6670969128608704,0.375,0.6860933303833008,0.9362546801567078,,
6,,48,,,,,,,0.5016129016876221,0.6866788864135742
6,5.25751283930731e-06,48,0.6289221048355103,0.9555105566978455,0.6210768818855286,0.4375,0.6837895512580872,0.9555105566978455,,
7,,55,,,,,,,0.5020161271095276,0.6832302808761597
7,5.7037318583752494e-06,55,0.6485323905944824,0.9721828103065491,0.5794870257377625,0.5,0.682439386844635,0.9721828103065491,,
8,,62,,,,,,,0.48165321350097656,0.6796154975891113
8,6.2162680478650145e-06,62,0.6731528043746948,0.9450945258140564,0.5302915573120117,0.5,0.6799487471580505,0.9450945258140564,,
9,,69,,,,,,,0.4848790168762207,0.6762235760688782
9,6.794390628783731e-06,69,0.6932185888290405,0.9209639430046082,0.4861016571521759,0.5,0.6779131293296814,0.9209639430046082,,
10,,76,,,,,,,0.5020161271095276,0.6733806133270264
10,7.437268777721329e-06,76,0.7046558856964111,0.8938682675361633,0.43685975670814514,0.5,0.6754382848739624,0.8938682675361633,,
11,,83,,,,,,,0.5153225660324097,0.6704903244972229
11,8.143982995534316e-06,83,0.7110323905944824,0.870162844657898,0.39289766550064087,0.5,0.6737141609191895,0.870162844657898,,
12,,90,,,,,,,0.5247983932495117,0.6679284572601318
12,8.913521014619619e-06,90,0.7260374426841736,0.8461806774139404,0.35237327218055725,0.5,0.669994056224823,0.8461806774139404,,
13,,97,,,,,,,0.51955646276474,0.6663727164268494
13,9.744779163156636e-06,97,0.7264423370361328,0.8235551118850708,0.31343069672584534,0.5,0.6668397784233093,0.8235551118850708,,
14,,104,,,,,,,0.5090725421905518,0.6648592352867126
14,1.0636567822075449e-05,104,0.7402328252792358,0.8006607294082642,0.27768099308013916,0.5,0.6618201732635498,0.8006607294082642,,
15,,111,,,,,,,0.5163306593894958,0.6649906635284424
15,1.1587609151320066e-05,111,0.7407134771347046,0.7819686532020569,0.24940383434295654,0.5,0.6572667360305786,0.7819686532020569,,
16,,118,,,,,,,0.5167338848114014,0.6652758121490479
16,1.2596541637321934e-05,118,0.7468623518943787,0.7623735070228577,0.22193916141986847,0.5,0.6514038443565369,0.7623735070228577,,
17,,125,,,,,,,0.5266129374504089,0.6652283072471619
17,1.366191736451583e-05,125,0.7461032271385193,0.7420825362205505,0.19114916026592255,0.5,0.646507978439331,0.7420825362205505,,
18,,132,,,,,,,0.5191532373428345,0.664090633392334
18,1.4782214748265687e-05,132,0.7420547008514404,0.7251613140106201,0.16487832367420197,0.5,0.6427222490310669,0.7251613140106201,,
19,,139,,,,,,,0.5461693406105042,0.6640138626098633
19,1.5955825801938772e-05,139,0.7409665584564209,0.7130187153816223,0.149325430393219,0.5,0.6383560299873352,0.7130187153816223,,
20,,146,,,,,,,0.5477822422981262,0.6641985774040222
20,1.7181064322357997e-05,146,0.7419281601905823,0.6968371868133545,0.12549643218517303,0.5,0.6340889930725098,0.6968371868133545,,
