epoch,learning_rate,step,training_auroc,training_loss,training_pseudolabel_loss,training_pseudolabel_weight,training_source_loss,training_total_loss,validation_auroc,validation_loss
0,,6,,,,,,,0.4506147503852844,0.6911047101020813
0,4.002022251370363e-06,6,0.45672881603240967,0.7358882427215576,0.611151397228241,0.0625,0.6976912021636963,0.7358882427215576,,
1,,13,,,,,,,0.458401620388031,0.6908583045005798
1,4.04044385504676e-06,13,0.48366934061050415,0.7705973386764526,0.5975177884101868,0.125,0.6959076523780823,0.7705973386764526,,
2,,20,,,,,,,0.4696721136569977,0.6898034811019897
2,4.147566869505681e-06,20,0.5043032169342041,0.8036532402038574,0.5825640559196472,0.1875,0.6944224834442139,0.8036532402038574,,
3,,27,,,,,,,0.47438523173332214,0.6886601448059082
3,4.3232384996372275e-06,27,0.5257812738418579,0.8341172337532043,0.5638302564620972,0.25,0.6931596398353577,0.8341172337532043,,
4,,34,,,,,,,0.49405741691589355,0.6859628558158875
4,4.5672063606616575e-06,34,0.5514364838600159,0.8613537549972534,0.5440593361854553,0.3125,0.6913352012634277,0.8613537549972534,,
5,,41,,,,,,,0.5057376623153687,0.684181809425354
5,4.8791207518661395e-06,41,0.5649193525314331,0.8856545090675354,0.5208876132965088,0.375,0.6903218030929565,0.8856545090675354,,
6,,48,,,,,,,0.5190573930740356,0.6819956302642822
6,5.258536020846805e-06,48,0.5825101137161255,0.9050734043121338,0.4941658079624176,0.4375,0.6888757348060608,0.9050734043121338,,
7,,55,,,,,,,0.52704918384552,0.6789407730102539
7,5.704908289771993e-06,55,0.5987714529037476,0.9195224642753601,0.46487587690353394,0.5,0.6870844960212708,0.9195224642753601,,
8,,62,,,,,,,0.5377049446105957,0.6758620142936707
8,6.217596819624305e-06,62,0.62104332447052,0.901228666305542,0.43288567662239075,0.5,0.684785783290863,0.901228666305542,,
9,,69,,,,,,,0.5223360657691956,0.6726370453834534
9,6.795869012421463e-06,69,0.6267389059066772,0.8863800168037415,0.4052833616733551,0.5,0.6837381720542908,0.8863800168037415,,
10,,76,,,,,,,0.5528688430786133,0.6692987084388733
10,7.438894499500748e-06,76,0.6339718103408813,0.8677875399589539,0.3707815408706665,0.5,0.6823967695236206,0.8677875399589539,,
11,,83,,,,,,,0.5604507923126221,0.6665235757827759
11,8.14575469121337e-06,83,0.6451865434646606,0.8503724932670593,0.34031203389167786,0.5,0.680216372013092,0.8503724932670593,,
12,,90,,,,,,,0.5295082330703735,0.6633411049842834
12,8.91543550096685e-06,90,0.6487399339675903,0.8351165056228638,0.3126910626888275,0.5,0.678770899772644,0.8351165056228638,,
13,,97,,,,,,,0.5350409746170044,0.6602683663368225
13,9.746833711687941e-06,97,0.655393123626709,0.8157311081886292,0.27906349301338196,0.5,0.6761994361877441,0.8157311081886292,,
14,,104,,,,,,,0.5301229953765869,0.6566578149795532
14,1.0638760613801423e-05,104,0.6614163517951965,0.7999321222305298,0.2538529336452484,0.5,0.6730057001113892,0.7999321222305298,,
15,,111,,,,,,,0.5571721196174622,0.6546857953071594
15,1.15899347292725e-05,111,0.6655242443084717,0.7842936515808105,0.22724944353103638,0.5,0.6706690192222595,0.7842936515808105,,
16,,118,,,,,,,0.5596311092376709,0.6516351699829102
16,1.2598998182511423e-05,118,0.6727822422981262,0.7694661617279053,0.20516535639762878,0.5,0.6668835282325745,0.7694661617279053,,
17,,125,,,,,,,0.5715163946151733,0.6491878032684326
17,1.3664502148458268e-05,125,0.6737903356552124,0.7540959119796753,0.18096256256103516,0.5,0.6636146903038025,0.7540959119796753,,
18,,132,,,,,,,0.5801229476928711,0.6477392911911011
18,1.4784923223487567e-05,132,0.6776209473609924,0.7389734387397766,0.15954984724521637,0.5,0.659198522567749,0.7389734387397766,,
19,,139,,,,,,,0.6151639223098755,0.6453060507774353
19,1.5958652511471882e-05,139,0.6846270561218262,0.7243351936340332,0.13967891037464142,0.5,0.6544957160949707,0.7243351936340332,,
20,,146,,,,,,,0.6432377099990845,0.6439526081085205
20,1.7184007447212934e-05,146,0.6819556355476379,0.7137715816497803,0.12231019139289856,0.5,0.652616560459137,0.7137715816497803,,
21,,153,,,,,,,0.6608606576919556,0.6440258026123047
21,1.8459239072399214e-05,153,0.6848537921905518,0.7007055282592773,0.10542558133602142,0.5,0.647992730140686,0.7007055282592773,,
22,,160,,,,,,,0.6643442511558533,0.6404285430908203
22,1.9782519302680157e-05,160,0.6888104677200317,0.6895223259925842,0.09032510221004486,0.5,0.644359827041626,0.6895223259925842,,
23,,167,,,,,,,0.6692622900009155,0.6377845406532288
23,2.1151950932107866e-05,167,0.6892641186714172,0.6808015704154968,0.0779697448015213,0.5,0.6418166160583496,0.6808015704154968,,
24,,174,,,,,,,0.6764343976974487,0.6349332928657532
24,2.256556945212651e-05,174,0.6942791938781738,0.6703609228134155,0.06617405265569687,0.5,0.6372737288475037,0.6703609228134155,,
25,,181,,,,,,,0.6786885261535645,0.6274697184562683
25,2.402135396550875e-05,181,0.6939011812210083,0.663373589515686,0.05510967969894409,0.5,0.6358187198638916,0.663373589515686,,
26,,188,,,,,,,0.6952868700027466,0.6243122220039368
26,2.551721627241932e-05,188,0.7012600898742676,0.6527857184410095,0.04576492682099342,0.5,0.6299033164978027,0.6527857184410095,,
27,,195,,,,,,,0.7004098296165466,0.6212448477745056
27,2.705101724131964e-05,195,0.7046118974685669,0.6455520987510681,0.03823085501790047,0.5,0.626436710357666,0.6455520987510681,,
28,,202,,,,,,,0.7143442630767822,0.6184049844741821
28,2.862055589503143e-05,202,0.7051663398742676,0.6399037837982178,0.03138940781354904,0.5,0.6242091059684753,0.6399037837982178,,
29,,209,,,,,,,0.7131147384643555,0.6188391447067261
29,3.0223585781641304e-05,209,0.7076865434646606,0.6339399218559265,0.02775604836642742,0.5,0.6200619339942932,0.6339399218559265,,
30,,216,,,,,,,0.7102458477020264,0.6133174300193787
30,3.1857813155511394e-05,216,0.7121471166610718,0.6273342370986938,0.022418536245822906,0.5,0.6161249279975891,0.6273342370986938,,
31,,223,,,,,,,0.7262295484542847,0.6085245013237
31,3.352088970132172e-05,223,0.715700626373291,0.6219861507415771,0.020009174942970276,0.5,0.6119815707206726,0.6219861507415771,,
32,,230,,,,,,,0.7200819849967957,0.6030468344688416
32,3.521043618093245e-05,230,0.7175402641296387,0.6171834468841553,0.01615631766617298,0.5,0.6091053485870361,0.6171834468841553,,
33,,237,,,,,,,0.7237704992294312,0.6032824516296387
33,3.6924036976415664e-05,237,0.7171118259429932,0.6141973733901978,0.01457811240106821,0.5,0.6069083213806152,0.6141973733901978,,
34,,244,,,,,,,0.7262295484542847,0.6045078635215759
34,3.865923281409778e-05,244,0.7231098413467407,0.6082404255867004,0.013111821375787258,0.5,0.6016845107078552,0.6082404255867004,,
35,,251,,,,,,,0.7336065769195557,0.5975050330162048
35,4.041353895445354e-05,251,0.7242943048477173,0.6051331162452698,0.011403001844882965,0.5,0.599431574344635,0.6051331162452698,,
36,,258,,,,,,,0.735245943069458,0.5894789695739746
36,4.218444155412726e-05,258,0.7271420955657959,0.6006218194961548,0.009844936430454254,0.5,0.5956993699073792,0.6006218194961548,,
37,,265,,,,,,,0.7258197069168091,0.5915851593017578
37,4.396940494189039e-05,265,0.7279738187789917,0.6002833247184753,0.008568214252591133,0.5,0.5959992408752441,0.6002833247184753,,
38,,272,,,,,,,0.7213114500045776,0.604790985584259
38,4.576587161864154e-05,272,0.7373740077018738,0.5912598371505737,0.008316772058606148,0.5,0.5871015787124634,0.5912598371505737,,
39,,279,,,,,,,0.720696747303009,0.6104289293289185
39,4.757127317134291e-05,279,0.7359627485275269,0.5961464643478394,0.007894315756857395,0.5,0.5921992659568787,0.5961464643478394,,
