epoch,learning_rate,step,training_loss,validation_auroc,validation_loss
0,,6,,0.6318548321723938,0.32119256258010864
0,4.0030536183621734e-06,6,0.32786282896995544,,
1,,13,,0.6479838490486145,0.3196578621864319
1,4.063194410264259e-06,13,0.32252806425094604,,
2,,20,,0.6667338609695435,0.3187457025051117
2,4.2312722143833525e-06,20,0.32293978333473206,,
3,,27,,0.6812499761581421,0.31602200865745544
3,4.506909135670867e-06,27,0.32128486037254333,,
4,,34,,0.6913306713104248,0.3132847845554352
4,4.889483989245491e-06,34,0.3232005834579468,,
5,,41,,0.6997984051704407,0.3113328814506531
5,5.3781350288772956e-06,41,0.3166957199573517,,
6,,48,,0.7016128897666931,0.3093530833721161
6,5.971763130219188e-06,48,0.3157634437084198,,
7,,55,,0.699999988079071,0.3071576952934265
7,6.66903088131221e-06,55,0.31012487411499023,,
8,,62,,0.6977822184562683,0.3048386573791504
8,7.468368494301103e-06,62,0.306655615568161,,
9,,69,,0.6951613426208496,0.30253246426582336
9,8.367976079171058e-06,69,0.30829909443855286,,
10,,76,,0.6651209592819214,0.30111178755760193
10,9.365828191221226e-06,76,0.30225974321365356,,
11,,83,,0.675000011920929,0.29793718457221985
11,1.0459676559548825e-05,83,0.2982589602470398,,
12,,90,,0.6528226137161255,0.29488110542297363
12,1.1647061910480261e-05,90,0.297161340713501,,
13,,97,,0.6862903237342834,0.29242202639579773
13,1.2925307601108216e-05,97,0.2893541753292084,,
14,,104,,0.675000011920929,0.28970402479171753
14,1.4291535080701578e-05,104,0.2881564795970917,,
15,,111,,0.6826612949371338,0.28747233748435974
15,1.5742669347673655e-05,111,0.28383615612983704,,
16,,118,,0.6959676742553711,0.28535589575767517
16,1.7275442587560974e-05,118,0.28055399656295776,,
17,,125,,0.7183467149734497,0.2836008369922638
17,1.8886405086959712e-05,125,0.2771858870983124,,
18,,132,,0.7173386812210083,0.28244462609291077
18,2.0571924324030988e-05,132,0.27161186933517456,,
19,,139,,0.7322580814361572,0.2811998724937439
19,2.2328211343847215e-05,139,0.26968351006507874,,
20,,146,,0.7324596643447876,0.2809047996997833
20,2.4151308025466278e-05,146,0.26691147685050964,,
21,,153,,0.7340725660324097,0.2805553078651428
21,2.603711254778318e-05,153,0.26210805773735046,,
22,,160,,0.7040322422981262,0.2833489179611206
22,2.7981373932561837e-05,160,0.2555704712867737,,
23,,167,,0.728225827217102,0.2793135344982147
23,2.9979719329276122e-05,167,0.25738105177879333,,
24,,174,,0.73447585105896,0.28106698393821716
24,3.2027644920162857e-05,174,0.25115689635276794,,
25,,181,,0.7368951439857483,0.2835840880870819
25,3.412054866203107e-05,181,0.24340447783470154,,
26,,188,,0.7322580814361572,0.286785751581192
26,3.625369936344214e-05,188,0.24227921664714813,,
27,,195,,0.7143145203590393,0.28953754901885986
27,3.842230944428593e-05,195,0.2358720302581787,,
28,,202,,0.7459677457809448,0.3046630918979645
28,4.0621500374982134e-05,202,0.23401518166065216,,
29,,209,,0.7479838728904724,0.3187330365180969
29,4.2846299038501456e-05,209,0.2308269739151001,,
30,,216,,0.73044353723526,0.30042219161987305
30,4.509171412792057e-05,216,0.22742341458797455,,
31,,223,,0.7542338371276855,0.3148994743824005
31,4.735268157674e-05,223,0.2171424776315689,,
