epoch,learning_rate,step,training_auroc,training_distillation_loss,training_distillation_weight,training_domain_acc,training_domain_loss,training_domain_weight,training_loss,training_source_loss,training_total_loss,validation_auroc,validation_loss
0,,6,,,,,,,,,,0.5548386573791504,0.6712550520896912
0,4.001942670583958e-06,6,0.525581955909729,0.45099329948425293,0.02500000037252903,0.6842312216758728,0.6782178282737732,0.05000000074505806,1.3880832195281982,0.6985906362533569,1.3880832195281982,,
1,,13,,,,,,,,,,0.5625,0.6726599335670471
1,4.040205567434896e-06,13,0.53914475440979,0.4461805522441864,0.05000000074505806,0.7059065103530884,0.6781935691833496,0.10000000149011612,1.396552324295044,0.6960495710372925,1.396552324295044,,
2,,20,,,,,,,,,,0.6002016067504883,0.6725121140480042
2,4.147169875068357e-06,20,0.576290488243103,0.4377988874912262,0.07499999552965164,0.6878461241722107,0.6787615418434143,0.14999999105930328,1.4032970666885376,0.6917004585266113,1.4032970666885376,,
3,,27,,,,,,,,,,0.5816532373428345,0.6731289625167847
3,4.322683253121795e-06,27,0.592383623123169,0.42600634694099426,0.10000000149011612,0.6840435862541199,0.6795011758804321,0.20000000298023224,1.4116449356079102,0.6895431876182556,1.4116449356079102,,
4,,34,,,,,,,,,,0.5860887169837952,0.673489511013031
4,4.566494226310169e-06,34,0.616523265838623,0.41437873244285583,0.125,0.6954233050346375,0.6786915063858032,0.25,1.417107105255127,0.6866182684898376,1.417107105255127,,
5,,41,,,,,,,,,,0.6233870983123779,0.6736946105957031
5,4.878252639173297e-06,41,0.6351720094680786,0.395314484834671,0.14999999105930328,0.6734845638275146,0.6797016859054565,0.29999998211860657,1.4232897758483887,0.6842909455299377,1.4232897758483887,,
6,,48,,,,,,,,,,0.6370967626571655,0.6729327440261841
6,5.25751283930731e-06,48,0.6507085561752319,0.37294313311576843,0.17499999701976776,0.6409290432929993,0.6827148199081421,0.3499999940395355,1.429589033126831,0.6816092133522034,1.429589033126831,,
7,,55,,,,,,,,,,0.6435483694076538,0.6719126105308533
7,5.7037318583752494e-06,55,0.6622469425201416,0.3462120592594147,0.20000000298023224,0.6188491582870483,0.685210645198822,0.4000000059604645,1.4342515468597412,0.6797983050346375,1.4342515468597412,,
8,,62,,,,,,,,,,0.6463710069656372,0.669880211353302
