epoch,learning_rate,step,training_auroc,training_domain_balanced_blend,training_domain_balanced_loss,training_loss,training_source_loss,training_total_loss,validation_auroc,validation_loss
0,,9,,,,,,,0.4920862317085266,0.6971241235733032
0,4.000507033197209e-06,9,0.4700549840927124,0.5,0.6954696178436279,0.6962728500366211,0.6962728500366211,0.6962728500366211,,
1,,19,,,,,,,0.4977116882801056,0.6964422464370728
1,4.0182458178605884e-06,19,0.4537625312805176,0.5,0.6967067718505859,0.697176456451416,0.697176456451416,0.697176456451416,,
2,,29,,,,,,,0.4962814450263977,0.6961668729782104
2,4.069424903718755e-06,29,0.46958911418914795,0.5,0.6951658129692078,0.6961047053337097,0.6961047053337097,0.6961047053337097,,
3,,39,,,,,,,0.5061022043228149,0.695597767829895
3,4.154007001488935e-06,39,0.4710105061531067,0.5,0.6946892738342285,0.6957236528396606,0.6957236528396606,0.6957236528396606,,
4,,49,,,,,,,0.5143020749092102,0.6953177452087402
4,4.271933448762866e-06,49,0.4867773652076721,0.5,0.6934864521026611,0.6942378878593445,0.6942378878593445,0.6942378878593445,,
5,,59,,,,,,,0.5218344926834106,0.6943547129631042
5,4.4231233005120885e-06,59,0.5324772596359253,0.5,0.690478503704071,0.6910786032676697,0.6910786032676697,0.6910786032676697,,
6,,69,,,,,,,0.5303203463554382,0.6936777830123901
6,4.607469236361794e-06,69,0.5082656741142273,0.5,0.6920464634895325,0.6926981806755066,0.6926981806755066,0.6926981806755066,,
7,,79,,,,,,,0.5349923968315125,0.6924537420272827
7,4.8248443818010855e-06,79,0.5174988508224487,0.5,0.6901531219482422,0.6912700533866882,0.6912700533866882,0.6912700533866882,,
8,,89,,,,,,,0.5369946956634521,0.6913911700248718
8,5.075095941720065e-06,89,0.5323697924613953,0.5,0.6899819374084473,0.6906660199165344,0.6906660199165344,0.6906660199165344,,
9,,99,,,,,,,0.5356597900390625,0.6904020309448242
9,5.358051566872746e-06,99,0.5498685836791992,0.5,0.6885113716125488,0.6891122460365295,0.6891122460365295,0.6891122460365295,,
10,,109,,,,,,,0.5421434044837952,0.6893622875213623
10,5.673512532666791e-06,109,0.5513975620269775,0.5,0.6885344386100769,0.6889604330062866,0.6889604330062866,0.6889604330062866,,
11,,119,,,,,,,0.5489130616188049,0.6884801983833313
11,6.0212573771423195e-06,119,0.5560559034347534,0.5,0.6875240206718445,0.6881037950515747,0.6881037950515747,0.6881037950515747,,
12,,129,,,,,,,0.5444316864013672,0.6875228881835938
12,6.401047357940115e-06,129,0.5632107257843018,0.5,0.6868064403533936,0.6875540018081665,0.6875540018081665,0.6875540018081665,,
13,,139,,,,,,,0.5394737124443054,0.6866897344589233
13,6.8126159931125585e-06,139,0.6003822088241577,0.5,0.6839612722396851,0.68445885181427,0.68445885181427,0.68445885181427,,
14,,149,,,,,,,0.5416666865348816,0.6854586601257324
14,7.255674518091837e-06,149,0.5962852239608765,0.5,0.6847145557403564,0.684852659702301,0.684852659702301,0.684852659702301,,
15,,159,,,,,,,0.5491037368774414,0.6843518018722534
15,7.729918252152856e-06,159,0.6069278717041016,0.5,0.6843941807746887,0.6846939921379089,0.6846939921379089,0.6846939921379089,,
16,,169,,,,,,,0.5556826591491699,0.6834253668785095
16,8.235014320234768e-06,169,0.626218318939209,0.5,0.6820554137229919,0.6824252009391785,0.6824252009391785,0.6824252009391785,,
17,,179,,,,,,,0.5617849230766296,0.6821594834327698
17,8.770610293140635e-06,179,0.6217391490936279,0.5,0.6820989847183228,0.6823799014091492,0.6823799014091492,0.6823799014091492,,
18,,189,,,,,,,0.5513920783996582,0.6819148659706116
18,9.336334187537432e-06,189,0.6466017961502075,0.5,0.6806684732437134,0.680274248123169,0.680274248123169,0.680274248123169,,
19,,199,,,,,,,0.5571129322052002,0.681402862071991
19,9.931789463735186e-06,199,0.6349378824234009,0.5,0.6806802749633789,0.6805829405784607,0.6805829405784607,0.6805829405784607,,
20,,209,,,,,,,0.5679824352264404,0.6794252991676331
20,1.0556563211139292e-05,209,0.6659698486328125,0.5,0.675894558429718,0.6758478283882141,0.6758478283882141,0.6758478283882141,,
21,,219,,,,,,,0.5605453848838806,0.6782242059707642
21,1.1210221600777004e-05,219,0.6577161550521851,0.5,0.6778814196586609,0.6774562001228333,0.6774562001228333,0.6774562001228333,,
22,,229,,,,,,,0.5676964521408081,0.6764228343963623
22,1.1892304428329226e-05,229,0.6721571683883667,0.5,0.6756367683410645,0.6750024557113647,0.6750024557113647,0.6750024557113647,,
23,,239,,,,,,,0.5758962631225586,0.6727956533432007
23,1.2602339666045737e-05,239,0.6899994611740112,0.5,0.6738934516906738,0.6729116439819336,0.6729116439819336,0.6729116439819336,,
24,,249,,,,,,,0.584000825881958,0.6706238389015198
24,1.333983163931407e-05,249,0.6989847421646118,0.5,0.6723029017448425,0.6713349223136902,0.6713349223136902,0.6713349223136902,,
25,,259,,,,,,,0.5978261232376099,0.6674867272377014
25,1.4104270121606532e-05,259,0.716116189956665,0.5,0.670012891292572,0.6684438586235046,0.6684438586235046,0.6684438586235046,,
26,,269,,,,,,,0.5984935164451599,0.667789101600647
26,1.4895115782564972e-05,269,0.7005375027656555,0.5,0.6695563197135925,0.6682549715042114,0.6682549715042114,0.6682549715042114,,
27,,279,,,,,,,0.6014493107795715,0.6668779253959656
27,1.5711817468400113e-05,279,0.7222408056259155,0.5,0.6649560332298279,0.6631132960319519,0.6631132960319519,0.6631132960319519,,
28,,289,,,,,,,0.6024027466773987,0.6650025248527527
28,1.6553813111386262e-05,289,0.7150381803512573,0.5,0.6667155623435974,0.6644821166992188,0.6644821166992188,0.6644821166992188,,
29,,299,,,,,,,0.612509548664093,0.6646210551261902
29,1.7420510630472563e-05,299,0.7235904932022095,0.5,0.6613218188285828,0.6596689820289612,0.6596689820289612,0.6596689820289612,,
30,,309,,,,,,,0.60736083984375,0.6591261029243469
30,1.831130612117704e-05,309,0.7330267429351807,0.5,0.6600489020347595,0.6574755907058716,0.6574755907058716,0.6574755907058716,,
31,,319,,,,,,,0.6121281385421753,0.6552411317825317
31,1.9225581127102487e-05,319,0.737947940826416,0.5,0.6566122174263,0.6545054316520691,0.6545054316520691,0.6545054316520691,,
32,,329,,,,,,,0.6206140518188477,0.6523504853248596
32,2.0162699001957662e-05,329,0.7428451776504517,0.5,0.6550095081329346,0.6518593430519104,0.6518593430519104,0.6518593430519104,,
33,,339,,,,,,,0.6302441358566284,0.650946855545044
33,2.112200490955729e-05,339,0.7438963651657104,0.5,0.6517240405082703,0.6484852433204651,0.6484852433204651,0.6484852433204651,,
34,,349,,,,,,,0.6464531421661377,0.6530287861824036
34,2.2102824004832655e-05,349,0.7484949827194214,0.5,0.649811327457428,0.6461198329925537,0.6461198329925537,0.6461198329925537,,
35,,359,,,,,,,0.6485507488250732,0.6510236859321594
35,2.310448144271504e-05,359,0.7375776767730713,0.5,0.6486681699752808,0.6448765993118286,0.6448765993118286,0.6448765993118286,,
36,,369,,,,,,,0.6588481664657593,0.6452195048332214
36,2.4126278731273487e-05,369,0.7331223487854004,0.5,0.6465927362442017,0.6427023410797119,0.6427023410797119,0.6427023410797119,,
37,,379,,,,,,,0.654748260974884,0.6415530443191528
